run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb
0,maleficnet_benigns,0,1.0,0.3333333333333333,1
0,maleficnet_mals,1,0.0,0.5384615384615384,1
1,maleficnet_benigns,0,1.0,0.0,1
1,maleficnet_mals,1,0.0,0.6153846153846154,1
2,maleficnet_benigns,0,0.0,0.6666666666666666,1
2,maleficnet_mals,1,1.0,0.15384615384615385,1
3,maleficnet_benigns,0,0.0,1.0,1
3,maleficnet_mals,1,1.0,0.46153846153846156,1
4,maleficnet_benigns,0,1.0,1.0,1
4,maleficnet_mals,1,0.0,0.23076923076923078,1
5,maleficnet_benigns,0,0.0,1.0,1
5,maleficnet_mals,1,0.9230769230769231,0.23076923076923078,1
6,maleficnet_benigns,0,0.0,0.6666666666666666,1
6,maleficnet_mals,1,1.0,0.6153846153846154,1
7,maleficnet_benigns,0,0.0,0.6666666666666666,1
7,maleficnet_mals,1,1.0,0.7692307692307693,1
8,maleficnet_benigns,0,0.0,0.6666666666666666,1
8,maleficnet_mals,1,1.0,0.38461538461538464,1
9,maleficnet_benigns,0,0.0,1.0,1
9,maleficnet_mals,1,1.0,0.0,1
0,maleficnet_benigns,0,0.0,0.6666666666666666,2
0,maleficnet_mals,1,1.0,0.6923076923076923,2
1,maleficnet_benigns,0,0.3333333333333333,0.6666666666666666,2
1,maleficnet_mals,1,0.6923076923076923,0.3076923076923077,2
2,maleficnet_benigns,0,1.0,1.0,2
2,maleficnet_mals,1,0.0,0.38461538461538464,2
3,maleficnet_benigns,0,1.0,0.0,2
3,maleficnet_mals,1,0.0,0.9230769230769231,2
4,maleficnet_benigns,0,1.0,0.0,2
4,maleficnet_mals,1,0.0,0.6153846153846154,2
5,maleficnet_benigns,0,0.0,1.0,2
5,maleficnet_mals,1,1.0,0.3076923076923077,2
6,maleficnet_benigns,0,0.0,1.0,2
6,maleficnet_mals,1,1.0,0.38461538461538464,2
7,maleficnet_benigns,0,1.0,0.0,2
7,maleficnet_mals,1,0.0,0.9230769230769231,2
8,maleficnet_benigns,0,0.0,1.0,2
8,maleficnet_mals,1,1.0,0.3076923076923077,2
9,maleficnet_benigns,0,0.0,0.0,2
9,maleficnet_mals,1,1.0,0.7692307692307693,2
0,maleficnet_benigns,0,1.0,0.3333333333333333,3
0,maleficnet_mals,1,0.0,0.9230769230769231,3
1,maleficnet_benigns,0,1.0,0.6666666666666666,3
1,maleficnet_mals,1,0.0,0.23076923076923078,3
2,maleficnet_benigns,0,1.0,0.3333333333333333,3
2,maleficnet_mals,1,0.0,0.5384615384615384,3
3,maleficnet_benigns,0,0.0,0.6666666666666666,3
3,maleficnet_mals,1,1.0,0.38461538461538464,3
4,maleficnet_benigns,0,1.0,0.3333333333333333,3
4,maleficnet_mals,1,0.0,0.3076923076923077,3
5,maleficnet_benigns,0,0.0,1.0,3
5,maleficnet_mals,1,1.0,0.38461538461538464,3
6,maleficnet_benigns,0,1.0,0.3333333333333333,3
6,maleficnet_mals,1,0.0,1.0,3
7,maleficnet_benigns,0,1.0,0.3333333333333333,3
7,maleficnet_mals,1,0.0,0.6923076923076923,3
8,maleficnet_benigns,0,0.0,0.6666666666666666,3
8,maleficnet_mals,1,1.0,0.38461538461538464,3
9,maleficnet_benigns,0,0.0,0.0,3
9,maleficnet_mals,1,1.0,1.0,3
0,maleficnet_benigns,0,0.0,0.0,4
0,maleficnet_mals,1,1.0,0.9230769230769231,4
1,maleficnet_benigns,0,1.0,0.0,4
1,maleficnet_mals,1,0.0,0.6153846153846154,4
2,maleficnet_benigns,0,0.0,0.0,4
2,maleficnet_mals,1,1.0,1.0,4
3,maleficnet_benigns,0,0.0,0.6666666666666666,4
3,maleficnet_mals,1,1.0,0.6153846153846154,4
4,maleficnet_benigns,0,0.0,0.6666666666666666,4
4,maleficnet_mals,1,1.0,0.23076923076923078,4
5,maleficnet_benigns,0,0.0,0.6666666666666666,4
5,maleficnet_mals,1,1.0,0.8461538461538461,4
6,maleficnet_benigns,0,1.0,1.0,4
6,maleficnet_mals,1,0.0,0.9230769230769231,4
7,maleficnet_benigns,0,1.0,1.0,4
7,maleficnet_mals,1,0.0,0.38461538461538464,4
8,maleficnet_benigns,0,0.0,0.6666666666666666,4
8,maleficnet_mals,1,1.0,0.46153846153846156,4
9,maleficnet_benigns,0,1.0,0.0,4
9,maleficnet_mals,1,0.0,0.6153846153846154,4
0,maleficnet_benigns,0,1.0,0.3333333333333333,5
0,maleficnet_mals,1,0.0,0.6153846153846154,5
1,maleficnet_benigns,0,1.0,0.6666666666666666,5
1,maleficnet_mals,1,0.0,0.38461538461538464,5
2,maleficnet_benigns,0,1.0,0.6666666666666666,5
2,maleficnet_mals,1,0.0,0.38461538461538464,5
3,maleficnet_benigns,0,1.0,1.0,5
3,maleficnet_mals,1,0.0,0.07692307692307693,5
4,maleficnet_benigns,0,0.3333333333333333,0.0,5
4,maleficnet_mals,1,0.7692307692307693,0.9230769230769231,5
5,maleficnet_benigns,0,1.0,0.0,5
