repeat,baseline,X,accuracy
0,xgboost,1,0.1145
0,hgb,1,0.143
0,rf,1,0.096
0,xgboost,2,0.112
0,hgb,2,0.1445
0,rf,2,0.096
0,xgboost,3,0.1175
0,hgb,3,0.143
0,rf,3,0.096
0,xgboost,4,0.112
0,hgb,4,0.146
0,rf,4,0.096
0,xgboost,5,0.119
0,hgb,5,0.1425
0,rf,5,0.096
0,xgboost,6,0.1175
0,hgb,6,0.1545
0,rf,6,0.096
0,xgboost,7,0.117
0,hgb,7,0.1435
0,rf,7,0.096
0,xgboost,8,0.1185
0,hgb,8,0.1475
0,rf,8,0.096
0,xgboost,9,0.1145
0,hgb,9,0.147
0,rf,9,0.0975
0,xgboost,10,0.1135
0,hgb,10,0.1475
0,rf,10,0.0965
0,xgboost,11,0.1215
0,hgb,11,0.1525
0,rf,11,0.098
0,xgboost,12,0.1195
0,hgb,12,0.152
0,rf,12,0.095
0,xgboost,13,0.135
0,hgb,13,0.154
0,rf,13,0.0955
0,xgboost,14,0.144
0,hgb,14,0.1655
0,rf,14,0.096
0,xgboost,15,0.1885
0,hgb,15,0.1755
0,rf,15,0.1025
0,xgboost,16,0.257
0,hgb,16,0.2175
0,rf,16,0.137
0,xgboost,17,0.3635
0,hgb,17,0.2905
0,rf,17,0.2575
0,xgboost,18,0.518
0,hgb,18,0.418
0,rf,18,0.4115
0,xgboost,19,0.682
0,hgb,19,0.619
0,rf,19,0.5865
0,xgboost,20,0.8165
0,hgb,20,0.8
0,rf,20,0.8445
0,xgboost,21,0.944
0,hgb,21,0.9555
0,rf,21,0.987
0,xgboost,22,0.988
0,hgb,22,0.9965
0,rf,22,1.0
0,xgboost,23,1.0
0,hgb,23,1.0
0,rf,23,1.0
1,xgboost,1,0.1195
1,hgb,1,0.1425
1,rf,1,0.1035
1,xgboost,2,0.122
1,hgb,2,0.1455
1,rf,2,0.1035
1,xgboost,3,0.1235
1,hgb,3,0.1465
1,rf,3,0.104
1,xgboost,4,0.127
1,hgb,4,0.1475
1,rf,4,0.104
1,xgboost,5,0.119
1,hgb,5,0.151
1,rf,5,0.1035
1,xgboost,6,0.122
1,hgb,6,0.1465
1,rf,6,0.1035
1,xgboost,7,0.1205
1,hgb,7,0.142
1,rf,7,0.103
1,xgboost,8,0.119
1,hgb,8,0.147
1,rf,8,0.1035
1,xgboost,9,0.1195
1,hgb,9,0.154
1,rf,9,0.1035
1,xgboost,10,0.124
1,hgb,10,0.149
1,rf,10,0.1035
1,xgboost,11,0.125
1,hgb,11,0.149
1,rf,11,0.104
1,xgboost,12,0.125
1,hgb,12,0.1535
1,rf,12,0.1085
1,xgboost,13,0.1335
1,hgb,13,0.1545
1,rf,13,0.107
1,xgboost,14,0.1455
1,hgb,14,0.167
1,rf,14,0.1045
1,xgboost,15,0.183
1,hgb,15,0.1845
1,rf,15,0.106
1,xgboost,16,0.2365
1,hgb,16,0.219
1,rf,16,0.1405
1,xgboost,17,0.359
1,hgb,17,0.277
1,rf,17,0.247
1,xgboost,18,0.5325
1,hgb,18,0.4145
1,rf,18,0.406
1,xgboost,19,0.6825
1,hgb,19,0.592
1,rf,19,0.6125
1,xgboost,20,0.8135
1,hgb,20,0.81
1,rf,20,0.8535
1,xgboost,21,0.947
1,hgb,21,0.9515
1,rf,21,0.9895
1,xgboost,22,0.9895
1,hgb,22,0.9965
1,rf,22,1.0
1,xgboost,23,0.9995
1,hgb,23,1.0
1,rf,23,1.0
2,xgboost,1,0.1185
2,hgb,1,0.1425
2,rf,1,0.1015
2,xgboost,2,0.1185
2,hgb,2,0.14
2,rf,2,0.1015
2,xgboost,3,0.1215
2,hgb,3,0.145
2,rf,3,0.1015
2,xgboost,4,0.117
2,hgb,4,0.1425
2,rf,4,0.1015
2,xgboost,5,0.124
2,hgb,5,0.145
2,rf,5,0.102
2,xgboost,6,0.1195
2,hgb,6,0.142
2,rf,6,0.1015
2,xgboost,7,0.121
2,hgb,7,0.1425
2,rf,7,0.1015
2,xgboost,8,0.1235
2,hgb,8,0.1495
2,rf,8,0.1015
2,xgboost,9,0.117
2,hgb,9,0.1445
2,rf,9,0.1005
2,xgboost,10,0.12
2,hgb,10,0.1435
2,rf,10,0.1015
2,xgboost,11,0.12
2,hgb,11,0.149
2,rf,11,0.102
2,xgboost,12,0.125
2,hgb,12,0.146
2,rf,12,0.1035
2,xgboost,13,0.1335
2,hgb,13,0.149
2,rf,13,0.1015
2,xgboost,14,0.1495
2,hgb,14,0.161
2,rf,14,0.101
2,xgboost,15,0.179
2,hgb,15,0.17
2,rf,15,0.1035
2,xgboost,16,0.2475
2,hgb,16,0.2015
2,rf,16,0.1355
2,xgboost,17,0.3635
2,hgb,17,0.271
2,rf,17,0.247
2,xgboost,18,0.53
2,hgb,18,0.418
2,rf,18,0.4145
2,xgboost,19,0.687
2,hgb,19,0.6095
2,rf,19,0.5955
2,xgboost,20,0.814
2,hgb,20,0.8045
2,rf,20,0.8325
2,xgboost,21,0.9465
2,hgb,21,0.96
2,rf,21,0.9845
2,xgboost,22,0.992
2,hgb,22,0.9975
2,rf,22,1.0
2,xgboost,23,0.999
2,hgb,23,1.0
2,rf,23,1.0
