repeat,baseline,X,accuracy
0,malconv_lite,1,0.999
1,malconv_lite,1,0.997
2,malconv_lite,1,0.9995
3,malconv_lite,1,0.9985
4,malconv_lite,1,0.999
5,malconv_lite,1,0.997
6,malconv_lite,1,0.997
7,malconv_lite,1,0.9965
8,malconv_lite,1,0.9995
9,malconv_lite,1,0.999
0,malconv_lite,2,1.0
1,malconv_lite,2,1.0
2,malconv_lite,2,1.0
3,malconv_lite,2,1.0
4,malconv_lite,2,1.0
5,malconv_lite,2,1.0
6,malconv_lite,2,1.0
7,malconv_lite,2,1.0
8,malconv_lite,2,1.0
9,malconv_lite,2,1.0
0,malconv_lite,3,0.9995
1,malconv_lite,3,1.0
2,malconv_lite,3,1.0
3,malconv_lite,3,0.9995
4,malconv_lite,3,1.0
5,malconv_lite,3,1.0
6,malconv_lite,3,1.0
7,malconv_lite,3,1.0
8,malconv_lite,3,1.0
9,malconv_lite,3,0.9995
0,malconv_lite,4,1.0
1,malconv_lite,4,1.0
2,malconv_lite,4,1.0
3,malconv_lite,4,1.0
4,malconv_lite,4,1.0
5,malconv_lite,4,1.0
6,malconv_lite,4,1.0
7,malconv_lite,4,1.0
8,malconv_lite,4,1.0
9,malconv_lite,4,1.0
0,malconv_lite,5,1.0
1,malconv_lite,5,1.0
2,malconv_lite,5,1.0
3,malconv_lite,5,1.0
4,malconv_lite,5,1.0
5,malconv_lite,5,1.0
6,malconv_lite,5,1.0
7,malconv_lite,5,1.0
8,malconv_lite,5,1.0
9,malconv_lite,5,1.0
0,malconv_lite,6,1.0
1,malconv_lite,6,1.0
2,malconv_lite,6,1.0
3,malconv_lite,6,1.0
4,malconv_lite,6,1.0
5,malconv_lite,6,1.0
6,malconv_lite,6,1.0
7,malconv_lite,6,1.0
8,malconv_lite,6,1.0
9,malconv_lite,6,1.0
0,malconv_lite,7,1.0
1,malconv_lite,7,1.0
2,malconv_lite,7,1.0
3,malconv_lite,7,1.0
4,malconv_lite,7,1.0
5,malconv_lite,7,1.0
6,malconv_lite,7,1.0
7,malconv_lite,7,1.0
8,malconv_lite,7,1.0
9,malconv_lite,7,1.0
0,malconv_lite,8,1.0
1,malconv_lite,8,1.0
2,malconv_lite,8,1.0
3,malconv_lite,8,1.0
4,malconv_lite,8,1.0
5,malconv_lite,8,1.0
6,malconv_lite,8,1.0
7,malconv_lite,8,1.0
8,malconv_lite,8,1.0
9,malconv_lite,8,1.0
0,malconv_lite,9,1.0
1,malconv_lite,9,1.0
2,malconv_lite,9,1.0
3,malconv_lite,9,1.0
4,malconv_lite,9,1.0
5,malconv_lite,9,1.0
6,malconv_lite,9,1.0
7,malconv_lite,9,1.0
8,malconv_lite,9,1.0
9,malconv_lite,9,1.0
0,malconv_lite,10,1.0
1,malconv_lite,10,1.0
2,malconv_lite,10,1.0
3,malconv_lite,10,1.0
4,malconv_lite,10,1.0
5,malconv_lite,10,1.0
6,malconv_lite,10,1.0
7,malconv_lite,10,1.0
8,malconv_lite,10,1.0
9,malconv_lite,10,1.0
0,malconv_lite,11,1.0
1,malconv_lite,11,1.0
2,malconv_lite,11,1.0
3,malconv_lite,11,1.0
4,malconv_lite,11,1.0
5,malconv_lite,11,1.0
6,malconv_lite,11,1.0
7,malconv_lite,11,1.0
8,malconv_lite,11,1.0
9,malconv_lite,11,1.0
0,malconv_lite,12,1.0
1,malconv_lite,12,1.0
2,malconv_lite,12,1.0
3,malconv_lite,12,1.0
4,malconv_lite,12,1.0
5,malconv_lite,12,1.0
6,malconv_lite,12,1.0
7,malconv_lite,12,1.0
8,malconv_lite,12,1.0
9,malconv_lite,12,1.0
0,malconv_lite,13,1.0
1,malconv_lite,13,1.0
2,malconv_lite,13,1.0
3,malconv_lite,13,1.0
4,malconv_lite,13,1.0
5,malconv_lite,13,1.0
6,malconv_lite,13,1.0
7,malconv_lite,13,1.0
8,malconv_lite,13,1.0
9,malconv_lite,13,1.0
0,malconv_lite,14,1.0
1,malconv_lite,14,1.0
2,malconv_lite,14,1.0
3,malconv_lite,14,1.0
4,malconv_lite,14,1.0
5,malconv_lite,14,1.0
6,malconv_lite,14,1.0
7,malconv_lite,14,1.0
8,malconv_lite,14,1.0
9,malconv_lite,14,1.0
0,malconv_lite,15,1.0
1,malconv_lite,15,1.0
2,malconv_lite,15,1.0
3,malconv_lite,15,1.0
4,malconv_lite,15,1.0
5,malconv_lite,15,1.0
6,malconv_lite,15,1.0
7,malconv_lite,15,1.0
8,malconv_lite,15,1.0
9,malconv_lite,15,1.0
0,malconv_lite,16,1.0
1,malconv_lite,16,1.0
2,malconv_lite,16,1.0
3,malconv_lite,16,1.0
4,malconv_lite,16,1.0
5,malconv_lite,16,1.0
6,malconv_lite,16,1.0
7,malconv_lite,16,1.0
8,malconv_lite,16,1.0
9,malconv_lite,16,1.0
0,malconv_lite,17,1.0
1,malconv_lite,17,1.0
2,malconv_lite,17,1.0
3,malconv_lite,17,1.0
4,malconv_lite,17,1.0
5,malconv_lite,17,1.0
6,malconv_lite,17,1.0
7,malconv_lite,17,1.0
8,malconv_lite,17,1.0
9,malconv_lite,17,1.0
0,malconv_lite,18,1.0
1,malconv_lite,18,1.0
2,malconv_lite,18,1.0
3,malconv_lite,18,1.0
4,malconv_lite,18,1.0
5,malconv_lite,18,1.0
6,malconv_lite,18,1.0
7,malconv_lite,18,1.0
8,malconv_lite,18,1.0
9,malconv_lite,18,1.0
0,malconv_lite,19,1.0
1,malconv_lite,19,1.0
2,malconv_lite,19,1.0
3,malconv_lite,19,1.0
4,malconv_lite,19,1.0
5,malconv_lite,19,1.0
6,malconv_lite,19,1.0
7,malconv_lite,19,1.0
8,malconv_lite,19,1.0
9,malconv_lite,19,1.0
0,malconv_lite,20,1.0
1,malconv_lite,20,1.0
2,malconv_lite,20,1.0
3,malconv_lite,20,1.0
4,malconv_lite,20,1.0
5,malconv_lite,20,1.0
6,malconv_lite,20,1.0
7,malconv_lite,20,1.0
8,malconv_lite,20,1.0
9,malconv_lite,20,1.0
0,malconv_lite,21,1.0
1,malconv_lite,21,1.0
2,malconv_lite,21,1.0
3,malconv_lite,21,1.0
4,malconv_lite,21,1.0
5,malconv_lite,21,1.0
6,malconv_lite,21,1.0
7,malconv_lite,21,1.0
8,malconv_lite,21,1.0
9,malconv_lite,21,1.0
0,malconv_lite,22,1.0
1,malconv_lite,22,1.0
2,malconv_lite,22,1.0
3,malconv_lite,22,1.0
4,malconv_lite,22,1.0
5,malconv_lite,22,1.0
6,malconv_lite,22,1.0
7,malconv_lite,22,1.0
8,malconv_lite,22,1.0
9,malconv_lite,22,1.0
0,malconv_lite,23,1.0
1,malconv_lite,23,1.0
2,malconv_lite,23,1.0
3,malconv_lite,23,1.0
4,malconv_lite,23,1.0
5,malconv_lite,23,1.0
6,malconv_lite,23,1.0
7,malconv_lite,23,1.0
8,malconv_lite,23,1.0
9,malconv_lite,23,1.0
