repeat,baseline,X,accuracy
0,byte_entropy,1,0.5
0,byte_entropy,2,0.5665
0,byte_entropy,3,0.979
0,byte_entropy,4,1.0
0,byte_entropy,5,1.0
0,byte_entropy,6,1.0
0,byte_entropy,7,1.0
0,byte_entropy,8,1.0
0,byte_entropy,9,1.0
0,byte_entropy,10,1.0
0,byte_entropy,11,1.0
0,byte_entropy,12,1.0
0,byte_entropy,13,1.0
0,byte_entropy,14,1.0
0,byte_entropy,15,1.0
0,byte_entropy,16,1.0
0,byte_entropy,17,1.0
0,byte_entropy,18,1.0
0,byte_entropy,19,1.0
0,byte_entropy,20,1.0
0,byte_entropy,21,1.0
0,byte_entropy,22,1.0
0,byte_entropy,23,1.0
0,histogram_kl,1,0.5115
0,histogram_kl,2,0.8225
0,histogram_kl,3,1.0
0,histogram_kl,4,1.0
0,histogram_kl,5,1.0
0,histogram_kl,6,1.0
0,histogram_kl,7,1.0
0,histogram_kl,8,1.0
0,histogram_kl,9,1.0
0,histogram_kl,10,1.0
0,histogram_kl,11,1.0
0,histogram_kl,12,1.0
0,histogram_kl,13,1.0
0,histogram_kl,14,1.0
0,histogram_kl,15,1.0
0,histogram_kl,16,1.0
0,histogram_kl,17,1.0
0,histogram_kl,18,1.0
0,histogram_kl,19,1.0
0,histogram_kl,20,1.0
0,histogram_kl,21,1.0
0,histogram_kl,22,1.0
0,histogram_kl,23,1.0
0,weight_value_dist,1,0.5
0,weight_value_dist,2,0.5
0,weight_value_dist,3,0.5
0,weight_value_dist,4,0.5
0,weight_value_dist,5,0.5
0,weight_value_dist,6,0.5
0,weight_value_dist,7,0.5
0,weight_value_dist,8,0.4994999999999999
0,weight_value_dist,9,0.5
0,weight_value_dist,10,0.498
0,weight_value_dist,11,0.4995
0,weight_value_dist,12,0.5005
0,weight_value_dist,13,0.5065000000000001
0,weight_value_dist,14,0.4975
0,weight_value_dist,15,0.5
0,weight_value_dist,16,0.5005000000000001
0,weight_value_dist,17,0.5
0,weight_value_dist,18,0.507
0,weight_value_dist,19,0.5035000000000001
0,weight_value_dist,20,0.573
0,weight_value_dist,21,0.7225
0,weight_value_dist,22,0.984
0,weight_value_dist,23,1.0
0,byte_autocorr,1,0.501
0,byte_autocorr,2,0.5
