repeat,X_hat,X,centroid,nn
0,1,0,0.5133333333333333,0.0333333333333333
0,1,1,0.47,0.9566666666666668
1,1,0,0.7033333333333334,0.94
1,1,1,0.2866666666666667,0.0533333333333333
2,1,0,0.5533333333333333,0.99
2,1,1,0.4366666666666666,0.0
3,1,0,0.5366666666666666,0.98
3,1,1,0.4566666666666666,0.0133333333333333
4,1,0,0.5533333333333333,0.1133333333333333
4,1,1,0.45,0.8733333333333333
0,2,0,0.6366666666666667,0.5866666666666667
0,2,2,0.3566666666666667,0.4066666666666667
1,2,0,0.5033333333333333,0.5466666666666666
1,2,2,0.4866666666666667,0.4333333333333333
2,2,0,0.65,0.99
2,2,2,0.34,0.0
3,2,0,0.6366666666666667,0.69
3,2,2,0.35,0.3
4,2,0,0.5233333333333333,0.7533333333333333
4,2,2,0.4633333333333333,0.2366666666666666
0,3,0,0.6166666666666667,0.1266666666666666
0,3,3,0.3733333333333333,0.86
1,3,0,0.6933333333333334,0.73
1,3,3,0.29,0.2566666666666666
2,3,0,0.5933333333333334,0.72
2,3,3,0.3866666666666666,0.2633333333333333
3,3,0,0.3766666666666666,0.4933333333333333
3,3,3,0.61,0.4933333333333333
4,3,0,0.4933333333333333,0.92
4,3,3,0.5,0.0766666666666666
0,4,0,0.6233333333333333,0.0133333333333333
0,4,4,0.3533333333333333,0.97
1,4,0,0.5933333333333334,0.36
1,4,4,0.3633333333333333,0.5733333333333334
2,4,0,0.6233333333333333,0.3466666666666667
2,4,4,0.3266666666666666,0.57
3,4,0,0.27,0.35
3,4,4,0.6933333333333334,0.63
4,4,0,0.6066666666666667,0.4233333333333333
4,4,4,0.36,0.5466666666666666
0,5,0,0.6366666666666667,0.8433333333333334
0,5,5,0.34,0.1333333333333333
1,5,0,0.3533333333333333,0.1366666666666666
1,5,5,0.6433333333333333,0.8666666666666667
2,5,0,0.4666666666666667,0.8966666666666666
2,5,5,0.51,0.0833333333333333
3,5,0,0.58,0.1333333333333333
3,5,5,0.4,0.8533333333333334
4,5,0,0.6033333333333334,0.9333333333333332
4,5,5,0.4166666666666667,0.0633333333333333
0,6,0,0.49,0.5366666666666666
0,6,6,0.5333333333333333,0.45
1,6,0,0.5433333333333333,0.6433333333333333
1,6,6,0.3833333333333333,0.3066666666666666
2,6,0,0.5,0.4933333333333333
2,6,6,0.55,0.5533333333333333
3,6,0,0.7266666666666667,0.5766666666666667
3,6,6,0.21,0.4533333333333333
4,6,0,0.4366666666666666,0.0066666666666666
4,6,6,0.5066666666666667,0.98
0,7,0,0.6866666666666666,0.9933333333333332
0,7,7,0.4233333333333333,0.0066666666666666
1,7,0,0.5266666666666666,0.2733333333333333
1,7,7,0.7033333333333334,0.8833333333333333
2,7,0,0.4966666666666666,0.6833333333333333
2,7,7,0.5766666666666667,0.3966666666666666
3,7,0,0.49,0.1566666666666666
3,7,7,0.57,0.8366666666666667
4,7,0,0.55,0.96
4,7,7,0.6566666666666666,0.0566666666666666
0,8,0,1.0,1.0
0,8,8,1.0,1.0
1,8,0,0.9966666666666668,0.9966666666666668
1,8,8,0.9733333333333334,0.9833333333333332
2,8,0,1.0,1.0
2,8,8,1.0,1.0
3,8,0,1.0,1.0
3,8,8,1.0,1.0
4,8,0,0.9933333333333332,1.0
4,8,8,0.99,0.9366666666666666
0,9,0,0.9233333333333332,1.0
0,9,9,0.65,0.02
1,9,0,0.9366666666666666,0.9133333333333332
1,9,9,0.9966666666666668,0.9966666666666668
2,9,0,0.9533333333333334,0.2366666666666666
2,9,9,0.9933333333333332,1.0
3,9,0,0.95,1.0
3,9,9,0.83,0.0033333333333333
4,9,0,0.98,1.0
4,9,9,0.9766666666666668,0.73
0,10,0,0.6166666666666667,0.29
0,10,10,0.94,0.9866666666666668
1,10,0,0.73,0.8933333333333333
1,10,10,0.93,0.8366666666666667
2,10,0,0.98,0.9566666666666668
2,10,10,0.9933333333333332,0.9933333333333332
3,10,0,0.99,0.9833333333333332
3,10,10,0.9966666666666668,0.9966666666666668
4,10,0,0.97,0.9766666666666668
4,10,10,0.9966666666666668,0.9933333333333332
0,11,0,0.73,0.7
0,11,11,0.49,0.5333333333333333
1,11,0,0.9666666666666668,0.9966666666666668
1,11,11,0.91,0.1266666666666666
2,11,0,0.95,0.78
2,11,11,0.98,0.9933333333333332
3,11,0,0.9733333333333334,1.0
3,11,11,0.9733333333333334,0.0033333333333333
4,11,0,0.9433333333333334,0.03
4,11,11,0.99,1.0
0,12,0,1.0,1.0
0,12,12,0.9966666666666668,0.9933333333333332
1,12,0,0.9733333333333334,0.9833333333333332
1,12,12,0.7866666666666666,0.6766666666666666
2,12,0,1.0,1.0
2,12,12,1.0,1.0
3,12,0,0.9966666666666668,0.9666666666666668
3,12,12,1.0,1.0
4,12,0,0.51,0.6
4,12,12,0.96,0.9233333333333332
0,13,0,0.98,1.0
0,13,13,0.9866666666666668,0.93
1,13,0,0.8466666666666667,0.9933333333333332
1,13,13,0.9866666666666668,0.5166666666666667
2,13,0,0.9933333333333332,0.9966666666666668
2,13,13,0.9966666666666668,0.9933333333333332
3,13,0,0.9933333333333332,1.0
3,13,13,0.9966666666666668,0.9966666666666668
4,13,0,0.9133333333333332,0.5966666666666667
4,13,13,0.99,0.9966666666666668
0,14,0,0.99,0.9933333333333332
0,14,14,0.9933333333333332,0.99
1,14,0,0.9566666666666668,1.0
1,14,14,0.9966666666666668,0.98
2,14,0,0.7033333333333334,0.7033333333333334
2,14,14,0.8766666666666667,0.01
3,14,0,0.48,0.1766666666666666
3,14,14,0.8066666666666666,0.9433333333333334
4,14,0,0.96,0.9966666666666668
4,14,14,0.9966666666666668,0.98
0,15,0,1.0,1.0
0,15,15,1.0,1.0
1,15,0,0.9966666666666668,1.0
1,15,15,1.0,0.97
2,15,0,0.8233333333333334,0.8933333333333333
2,15,15,0.9533333333333334,0.86
3,15,0,0.99,0.6866666666666666
3,15,15,1.0,1.0
4,15,0,0.9933333333333332,0.9966666666666668
4,15,15,0.9966666666666668,0.9933333333333332
0,16,0,1.0,1.0
0,16,16,1.0,1.0
1,16,0,1.0,0.9966666666666668
1,16,16,1.0,1.0
2,16,0,0.9966666666666668,0.9966666666666668
2,16,16,1.0,1.0
3,16,0,0.9633333333333334,0.99
3,16,16,0.9966666666666668,0.98
4,16,0,1.0,1.0
4,16,16,1.0,1.0
0,17,0,1.0,1.0
0,17,17,0.9966666666666668,0.6166666666666667
1,17,0,0.73,0.72
1,17,17,0.82,0.8333333333333334
2,17,0,1.0,1.0
2,17,17,1.0,1.0
3,17,0,1.0,1.0
3,17,17,1.0,1.0
4,17,0,1.0,1.0
4,17,17,1.0,1.0
0,18,0,0.9966666666666668,1.0
0,18,18,0.9933333333333332,0.9566666666666668
1,18,0,1.0,1.0
1,18,18,1.0,1.0
2,18,0,1.0,0.85
2,18,18,0.9966666666666668,1.0
3,18,0,0.9666666666666668,0.9866666666666668
3,18,18,0.75,0.5766666666666667
4,18,0,1.0,1.0
4,18,18,1.0,1.0
0,19,0,1.0,1.0
0,19,19,1.0,1.0
1,19,0,1.0,1.0
1,19,19,1.0,1.0
2,19,0,1.0,1.0
2,19,19,1.0,1.0
3,19,0,1.0,1.0
3,19,19,1.0,1.0
4,19,0,0.83,0.0433333333333333
4,19,19,0.9566666666666668,1.0
0,20,0,1.0,1.0
0,20,20,1.0,1.0
1,20,0,1.0,1.0
1,20,20,1.0,1.0
2,20,0,1.0,1.0
2,20,20,1.0,1.0
3,20,0,1.0,1.0
3,20,20,1.0,1.0
4,20,0,1.0,1.0
4,20,20,1.0,1.0
0,21,0,1.0,1.0
0,21,21,1.0,1.0
1,21,0,1.0,1.0
1,21,21,1.0,1.0
2,21,0,0.9966666666666668,1.0
2,21,21,1.0,0.9866666666666668
3,21,0,1.0,0.9966666666666668
3,21,21,1.0,1.0
4,21,0,1.0,0.9966666666666668
4,21,21,1.0,1.0
0,22,0,0.9966666666666668,1.0
0,22,22,1.0,0.7333333333333333
1,22,0,1.0,1.0
1,22,22,1.0,0.98
2,22,0,1.0,1.0
2,22,22,1.0,1.0
3,22,0,1.0,1.0
3,22,22,1.0,1.0
4,22,0,0.7233333333333334,0.9966666666666668
4,22,22,0.9333333333333332,0.04
0,23,0,1.0,1.0
0,23,23,1.0,1.0
1,23,0,1.0,1.0
1,23,23,1.0,1.0
2,23,0,1.0,1.0
2,23,23,1.0,1.0
3,23,0,0.6966666666666667,0.79
3,23,23,0.91,0.85
4,23,0,1.0,0.9833333333333332
4,23,23,1.0,1.0
5,1,0,0.6766666666666666,0.9366666666666666
5,1,1,0.3133333333333333,0.0533333333333333
6,1,0,0.6666666666666666,0.63
6,1,1,0.3233333333333333,0.36
7,1,0,0.5533333333333333,0.7066666666666667
7,1,1,0.43,0.2866666666666667
8,1,0,0.7566666666666667,0.9666666666666668
8,1,1,0.2366666666666666,0.0233333333333333
9,1,0,0.58,0.35
9,1,1,0.4033333333333333,0.6433333333333333
5,2,0,0.4733333333333333,0.36
5,2,2,0.5166666666666667,0.6266666666666667
6,2,0,0.6866666666666666,0.7233333333333334
6,2,2,0.2933333333333333,0.2566666666666666
7,2,0,0.54,0.0
7,2,2,0.4566666666666666,0.99
8,2,0,0.6533333333333333,0.9533333333333334
8,2,2,0.3266666666666666,0.0366666666666666
9,2,0,0.5,0.41
9,2,2,0.4933333333333333,0.5766666666666667
5,3,0,0.6233333333333333,0.09
5,3,3,0.3633333333333333,0.8966666666666666
6,3,0,0.5,0.4666666666666667
6,3,3,0.4866666666666667,0.5133333333333333
7,3,0,0.5866666666666667,0.99
7,3,3,0.42,0.0
8,3,0,0.6566666666666666,0.92
8,3,3,0.33,0.07
9,3,0,0.3566666666666667,0.0
9,3,3,0.6366666666666667,0.99
5,4,0,0.4766666666666667,0.9566666666666668
5,4,4,0.4666666666666667,0.0266666666666666
6,4,0,0.6033333333333334,0.1633333333333333
6,4,4,0.34,0.81
7,4,0,0.5566666666666666,0.7233333333333334
7,4,4,0.3666666666666666,0.3033333333333333
8,4,0,0.73,0.1666666666666666
8,4,4,0.1933333333333333,0.75
9,4,0,0.67,0.8133333333333334
9,4,4,0.3233333333333333,0.1766666666666666
5,5,0,0.6066666666666667,0.62
5,5,5,0.3666666666666666,0.3466666666666667
6,5,0,0.4333333333333333,0.9466666666666668
6,5,5,0.5666666666666667,0.0533333333333333
7,5,0,0.6066666666666667,0.2366666666666666
7,5,5,0.36,0.7366666666666667
8,5,0,0.5833333333333334,0.06
8,5,5,0.3766666666666666,0.92
9,5,0,0.5966666666666667,0.8333333333333334
9,5,5,0.39,0.1566666666666666
5,6,0,0.47,0.96
5,6,6,0.5866666666666667,0.0366666666666666
6,6,0,0.3966666666666666,0.9833333333333332
6,6,6,0.6033333333333334,0.0066666666666666
7,6,0,0.54,0.1233333333333333
7,6,6,0.4466666666666666,0.8733333333333333
8,6,0,0.59,0.3266666666666666
8,6,6,0.3266666666666666,0.65
9,6,0,0.6933333333333334,0.9166666666666666
9,6,6,0.2766666666666666,0.06
5,7,0,0.5733333333333334,0.57
5,7,7,0.5166666666666667,0.5266666666666666
6,7,0,0.4666666666666667,0.6333333333333333
6,7,7,0.5833333333333334,0.44
7,7,0,0.4166666666666667,0.98
7,7,7,0.7,0.01
8,7,0,0.5066666666666667,0.9833333333333332
8,7,7,0.5566666666666666,0.0
9,7,0,0.4066666666666667,0.8966666666666666
9,7,7,0.6666666666666666,0.1233333333333333
5,8,0,0.97,0.97
5,8,8,0.9766666666666668,0.9766666666666668
6,8,0,1.0,1.0
6,8,8,1.0,1.0
7,8,0,1.0,1.0
7,8,8,1.0,1.0
8,8,0,1.0,1.0
8,8,8,1.0,1.0
9,8,0,1.0,1.0
9,8,8,1.0,1.0
5,9,0,0.86,0.85
5,9,9,0.9733333333333334,0.9733333333333334
6,9,0,0.9033333333333332,0.3366666666666666
6,9,9,0.9733333333333334,0.9933333333333332
7,9,0,0.8966666666666666,0.0266666666666666
7,9,9,0.9966666666666668,1.0
8,9,0,0.7366666666666667,0.99
8,9,9,0.8233333333333334,0.1833333333333333
9,9,0,0.84,0.5066666666666667
9,9,9,0.9333333333333332,0.03
5,10,0,0.9566666666666668,0.94
5,10,10,0.92,0.94
6,10,0,0.9533333333333334,0.4933333333333333
6,10,10,0.9966666666666668,1.0
7,10,0,0.58,0.0
7,10,10,0.6266666666666667,0.9966666666666668
8,10,0,0.9266666666666666,0.3733333333333333
8,10,10,0.9966666666666668,1.0
9,10,0,0.9433333333333334,0.9633333333333334
9,10,10,0.9933333333333332,0.9833333333333332
5,11,0,0.9733333333333334,1.0
5,11,11,0.9933333333333332,0.62
6,11,0,0.9466666666666668,0.9933333333333332
6,11,11,0.9833333333333332,0.9433333333333334
7,11,0,0.7233333333333334,0.5566666666666666
7,11,11,0.9066666666666666,0.9433333333333334
8,11,0,0.9866666666666668,0.9433333333333334
8,11,11,0.9933333333333332,1.0
9,11,0,0.6566666666666666,0.6266666666666667
9,11,11,0.7966666666666666,0.8166666666666667
5,12,0,1.0,1.0
5,12,12,1.0,1.0
6,12,0,1.0,1.0
6,12,12,1.0,0.9966666666666668
7,12,0,1.0,1.0
7,12,12,1.0,1.0
8,12,0,1.0,1.0
8,12,12,1.0,1.0
9,12,0,1.0,0.9966666666666668
9,12,12,1.0,1.0
5,13,0,0.9933333333333332,1.0
5,13,13,0.9966666666666668,0.9966666666666668
6,13,0,0.9933333333333332,0.9933333333333332
6,13,13,0.9966666666666668,0.9966666666666668
7,13,0,0.9633333333333334,0.3833333333333333
7,13,13,0.9766666666666668,0.52
8,13,0,0.6833333333333333,0.16
8,13,13,0.79,0.9866666666666668
9,13,0,0.99,0.9966666666666668
9,13,13,0.98,0.8733333333333333
5,14,0,0.95,0.1133333333333333
5,14,14,0.98,1.0
6,14,0,0.9433333333333334,0.9966666666666668
6,14,14,0.99,0.97
7,14,0,0.93,0.95
7,14,14,0.9033333333333332,0.8333333333333334
8,14,0,0.8033333333333333,0.9966666666666668
8,14,14,0.9233333333333332,0.1766666666666666
9,14,0,0.9733333333333334,0.5366666666666666
9,14,14,0.9966666666666668,1.0
5,15,0,0.9966666666666668,1.0
5,15,15,1.0,1.0
6,15,0,0.6933333333333334,0.7633333333333333
6,15,15,0.84,0.78
7,15,0,0.9866666666666668,1.0
7,15,15,0.9866666666666668,0.9333333333333332
8,15,0,0.9533333333333334,0.86
8,15,15,0.9966666666666668,1.0
9,15,0,1.0,1.0
9,15,15,1.0,1.0
5,16,0,1.0,1.0
5,16,16,1.0,1.0
6,16,0,1.0,1.0
6,16,16,1.0,1.0
7,16,0,1.0,1.0
7,16,16,1.0,1.0
8,16,0,0.9966666666666668,0.9966666666666668
8,16,16,1.0,1.0
9,16,0,1.0,1.0
9,16,16,1.0,1.0
5,17,0,1.0,0.91
5,17,17,0.9966666666666668,1.0
6,17,0,1.0,0.99
6,17,17,1.0,1.0
7,17,0,1.0,1.0
7,17,17,1.0,1.0
8,17,0,1.0,1.0
8,17,17,1.0,1.0
9,17,0,1.0,1.0
9,17,17,1.0,1.0
5,18,0,0.2533333333333333,0.1633333333333333
5,18,18,0.9366666666666666,0.98
6,18,0,1.0,1.0
6,18,18,1.0,1.0
7,18,0,0.9966666666666668,0.9966666666666668
7,18,18,0.9666666666666668,0.9766666666666668
8,18,0,1.0,1.0
8,18,18,1.0,1.0
9,18,0,0.9733333333333334,0.9766666666666668
9,18,18,0.8166666666666667,0.8166666666666667
5,19,0,1.0,1.0
5,19,19,1.0,1.0
6,19,0,1.0,1.0
6,19,19,1.0,1.0
7,19,0,1.0,1.0
7,19,19,1.0,1.0
8,19,0,1.0,1.0
8,19,19,1.0,0.9833333333333332
9,19,0,1.0,1.0
9,19,19,1.0,1.0
5,20,0,1.0,1.0
5,20,20,1.0,1.0
6,20,0,1.0,1.0
6,20,20,1.0,1.0
7,20,0,1.0,1.0
7,20,20,1.0,1.0
8,20,0,1.0,1.0
8,20,20,1.0,1.0
9,20,0,1.0,1.0
9,20,20,1.0,1.0
5,21,0,1.0,1.0
5,21,21,1.0,1.0
6,21,0,0.88,0.88
6,21,21,0.9533333333333334,0.96
7,21,0,0.98,1.0
7,21,21,1.0,0.9833333333333332
8,21,0,0.9966666666666668,1.0
8,21,21,0.9966666666666668,0.7
9,21,0,1.0,0.9866666666666668
9,21,21,1.0,1.0
5,22,0,1.0,1.0
5,22,22,1.0,1.0
6,22,0,0.9966666666666668,1.0
6,22,22,1.0,0.8666666666666667
7,22,0,0.9066666666666666,0.9066666666666666
7,22,22,0.9366666666666666,0.9366666666666666
