repeat,baseline,X_hat,X,accuracy,train_archs
0,malconv_lite,1,0,0.9375,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,1,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,2,0.0625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,3,0.0625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,4,0.125,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,5,0.0625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,6,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,7,0.0625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,8,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,9,0.0625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,10,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,11,0.1875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,12,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,13,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,14,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,15,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,16,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,17,0.0625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,18,0.0625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,19,0.0625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,20,0.0625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,21,0.0625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,22,0.125,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,1,23,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,0,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,2,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,1,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,3,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,4,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,5,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,6,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,7,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,8,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,9,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,10,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,11,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,12,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,13,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,14,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,15,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,16,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,17,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,18,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,19,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,20,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,21,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,22,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,23,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,0,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,3,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,1,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,2,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,4,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,5,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,6,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
