repeat,baseline,X,accuracy,train_archs
0,byte_entropy,1,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,2,0.53125,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,3,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,4,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,5,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,6,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,7,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,8,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,9,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,10,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,11,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,12,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,13,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,14,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,15,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,16,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,17,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,18,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,19,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,20,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,21,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,22,0.5625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_entropy,23,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,1,0.34375,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,2,0.40625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,3,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,4,0.53125,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,5,0.59375,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,6,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,7,0.625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,8,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,9,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,10,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,11,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,12,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,13,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,14,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,15,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,16,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,17,0.65625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,18,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,19,0.65625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,20,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,21,0.65625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,22,0.65625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,histogram_kl,23,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,1,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,2,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,3,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,4,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,5,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,6,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,7,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,8,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,9,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,10,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,11,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,12,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,13,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,14,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,15,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,16,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,17,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,18,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,19,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,20,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,21,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,22,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,weight_value_dist,23,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,1,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,2,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,3,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,4,0.53125,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,5,0.65625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,6,0.71875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,7,0.6875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,8,0.90625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,9,0.71875,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,10,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,11,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,12,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,13,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,14,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,15,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,16,0.84375,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,17,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,18,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,19,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,20,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,21,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,22,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
0,byte_autocorr,23,0.75,MobileNetV2|MobileNetV3Large|NASNetMobile
1,byte_entropy,1,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,byte_entropy,2,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,byte_entropy,3,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,byte_entropy,4,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,byte_entropy,5,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,byte_entropy,6,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,byte_entropy,7,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,byte_entropy,8,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,byte_entropy,9,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,byte_entropy,10,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,byte_entropy,11,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,byte_entropy,12,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,byte_entropy,13,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
