repeat,X_hat,X,eval_set,centroid,nn
0,1,1,famous_le_10m,0.4,0.5
0,1,1,famous_le_100m,0.5,0.5
0,1,2,famous_le_10m,0.4,0.5
0,1,2,famous_le_100m,0.5,0.5
0,1,3,famous_le_10m,0.4,0.5
0,1,3,famous_le_100m,0.5,0.5
0,1,4,famous_le_10m,0.5,0.6
0,1,4,famous_le_100m,0.5,0.5
0,1,5,famous_le_10m,0.4,0.6
0,1,5,famous_le_100m,0.5,0.5
0,1,6,famous_le_10m,0.9,0.6
0,1,6,famous_le_100m,0.9375,0.5
0,1,7,famous_le_10m,0.9,0.6
0,1,7,famous_le_100m,0.90625,0.5
0,1,8,famous_le_10m,0.9,0.6
0,1,8,famous_le_100m,0.96875,0.5
0,1,9,famous_le_10m,0.9,0.6
0,1,9,famous_le_100m,0.96875,0.5
0,1,10,famous_le_10m,0.9,0.6
0,1,10,famous_le_100m,0.96875,0.5
0,1,11,famous_le_10m,0.9,0.6
0,1,11,famous_le_100m,0.96875,0.5
0,1,12,famous_le_10m,0.9,0.6
0,1,12,famous_le_100m,0.96875,0.5
0,1,13,famous_le_10m,0.9,0.6
0,1,13,famous_le_100m,0.96875,0.5
0,1,14,famous_le_10m,0.9,0.6
0,1,14,famous_le_100m,0.96875,0.5
0,1,15,famous_le_10m,0.9,0.6
0,1,15,famous_le_100m,0.96875,0.5
0,1,16,famous_le_10m,0.9,0.6
0,1,16,famous_le_100m,0.96875,0.5
0,1,17,famous_le_10m,0.9,0.6
0,1,17,famous_le_100m,0.96875,0.5
0,1,18,famous_le_10m,0.9,0.6
0,1,18,famous_le_100m,0.96875,0.5
0,1,19,famous_le_10m,0.9,0.6
0,1,19,famous_le_100m,0.96875,0.5
0,1,20,famous_le_10m,0.9,0.6
0,1,20,famous_le_100m,0.96875,0.5
0,1,21,famous_le_10m,0.9,0.6
0,1,21,famous_le_100m,0.96875,0.5
0,1,22,famous_le_10m,0.9,0.6
0,1,22,famous_le_100m,0.96875,0.5
0,1,23,famous_le_10m,0.9,0.6
0,1,23,famous_le_100m,0.96875,0.5
0,2,1,famous_le_10m,0.5,0.6
0,2,1,famous_le_100m,0.5,0.5
0,2,2,famous_le_10m,0.5,0.6
0,2,2,famous_le_100m,0.5625,0.5
0,2,3,famous_le_10m,0.6,0.6
0,2,3,famous_le_100m,0.5625,0.5
0,2,4,famous_le_10m,0.8,0.7
0,2,4,famous_le_100m,0.59375,0.59375
0,2,5,famous_le_10m,0.8,0.7
0,2,5,famous_le_100m,0.59375,0.59375
0,2,6,famous_le_10m,0.8,0.7
0,2,6,famous_le_100m,0.59375,0.59375
0,2,7,famous_le_10m,0.8,0.7
0,2,7,famous_le_100m,0.59375,0.59375
0,2,8,famous_le_10m,0.8,0.7
0,2,8,famous_le_100m,0.59375,0.59375
0,2,9,famous_le_10m,0.8,0.7
0,2,9,famous_le_100m,0.59375,0.59375
0,2,10,famous_le_10m,0.8,0.7
0,2,10,famous_le_100m,0.59375,0.59375
0,2,11,famous_le_10m,0.8,0.7
0,2,11,famous_le_100m,0.59375,0.59375
0,2,12,famous_le_10m,0.8,0.7
0,2,12,famous_le_100m,0.59375,0.59375
0,2,13,famous_le_10m,0.8,0.7
0,2,13,famous_le_100m,0.59375,0.59375
0,2,14,famous_le_10m,0.8,0.7
0,2,14,famous_le_100m,0.59375,0.59375
0,2,15,famous_le_10m,0.8,0.7
0,2,15,famous_le_100m,0.59375,0.59375
0,2,16,famous_le_10m,0.8,0.7
0,2,16,famous_le_100m,0.59375,0.59375
0,2,17,famous_le_10m,0.8,0.7
0,2,17,famous_le_100m,0.59375,0.59375
0,2,18,famous_le_10m,0.8,0.7
0,2,18,famous_le_100m,0.59375,0.59375
0,2,19,famous_le_10m,0.8,0.7
0,2,19,famous_le_100m,0.59375,0.59375
0,2,20,famous_le_10m,0.8,0.7
0,2,20,famous_le_100m,0.59375,0.59375
0,2,21,famous_le_10m,0.8,0.7
0,2,21,famous_le_100m,0.59375,0.59375
0,2,22,famous_le_10m,0.8,0.7
0,2,22,famous_le_100m,0.59375,0.59375
0,2,23,famous_le_10m,0.8,0.7
0,2,23,famous_le_100m,0.59375,0.59375
0,3,1,famous_le_10m,0.5,0.5
0,3,1,famous_le_100m,0.46875,0.5
0,3,2,famous_le_10m,0.5,0.5
0,3,2,famous_le_100m,0.46875,0.53125
0,3,3,famous_le_10m,0.5,0.5
0,3,3,famous_le_100m,0.46875,0.53125
0,3,4,famous_le_10m,0.7,0.6
0,3,4,famous_le_100m,0.53125,0.5625
0,3,5,famous_le_10m,0.6,0.6
0,3,5,famous_le_100m,0.46875,0.5625
0,3,6,famous_le_10m,0.9,0.6
0,3,6,famous_le_100m,0.875,0.5625
0,3,7,famous_le_10m,0.9,0.6
0,3,7,famous_le_100m,0.875,0.59375
0,3,8,famous_le_10m,0.9,0.6
0,3,8,famous_le_100m,0.875,0.59375
0,3,9,famous_le_10m,0.9,0.6
0,3,9,famous_le_100m,0.875,0.59375
0,3,10,famous_le_10m,0.9,0.6
0,3,10,famous_le_100m,0.875,0.59375
0,3,11,famous_le_10m,0.9,0.6
0,3,11,famous_le_100m,0.875,0.59375
0,3,12,famous_le_10m,0.9,0.6
0,3,12,famous_le_100m,0.875,0.59375
0,3,13,famous_le_10m,0.9,0.6
0,3,13,famous_le_100m,0.875,0.59375
0,3,14,famous_le_10m,0.9,0.6
0,3,14,famous_le_100m,0.875,0.59375
0,3,15,famous_le_10m,0.9,0.6
0,3,15,famous_le_100m,0.875,0.59375
0,3,16,famous_le_10m,0.9,0.6
0,3,16,famous_le_100m,0.875,0.59375
0,3,17,famous_le_10m,0.9,0.6
0,3,17,famous_le_100m,0.875,0.59375
0,3,18,famous_le_10m,0.9,0.6
0,3,18,famous_le_100m,0.875,0.59375
0,3,19,famous_le_10m,0.9,0.6
0,3,19,famous_le_100m,0.875,0.59375
0,3,20,famous_le_10m,0.9,0.6
0,3,20,famous_le_100m,0.875,0.59375
0,3,21,famous_le_10m,0.9,0.6
0,3,21,famous_le_100m,0.875,0.59375
0,3,22,famous_le_10m,0.9,0.6
0,3,22,famous_le_100m,0.875,0.59375
0,3,23,famous_le_10m,0.9,0.6
0,3,23,famous_le_100m,0.875,0.59375
0,4,1,famous_le_10m,0.5,0.5
0,4,1,famous_le_100m,0.5,0.46875
0,4,2,famous_le_10m,0.5,0.5
0,4,2,famous_le_100m,0.5,0.5
0,4,3,famous_le_10m,0.5,0.5
0,4,3,famous_le_100m,0.5,0.46875
0,4,4,famous_le_10m,0.6,0.6
0,4,4,famous_le_100m,0.5,0.4375
0,4,5,famous_le_10m,0.5,0.6
0,4,5,famous_le_100m,0.5,0.40625
0,4,6,famous_le_10m,1.0,0.8
0,4,6,famous_le_100m,0.96875,0.75
0,4,7,famous_le_10m,1.0,0.8
0,4,7,famous_le_100m,0.9375,0.75
0,4,8,famous_le_10m,1.0,0.8
0,4,8,famous_le_100m,0.96875,0.75
0,4,9,famous_le_10m,1.0,0.8
0,4,9,famous_le_100m,0.96875,0.75
0,4,10,famous_le_10m,1.0,0.8
0,4,10,famous_le_100m,0.96875,0.75
0,4,11,famous_le_10m,1.0,0.8
0,4,11,famous_le_100m,0.96875,0.75
0,4,12,famous_le_10m,1.0,0.8
0,4,12,famous_le_100m,0.96875,0.75
0,4,13,famous_le_10m,1.0,0.8
0,4,13,famous_le_100m,0.96875,0.75
0,4,14,famous_le_10m,1.0,0.8
0,4,14,famous_le_100m,0.96875,0.75
0,4,15,famous_le_10m,1.0,0.8
0,4,15,famous_le_100m,0.96875,0.75
0,4,16,famous_le_10m,1.0,0.8
0,4,16,famous_le_100m,0.96875,0.75
0,4,17,famous_le_10m,1.0,0.8
0,4,17,famous_le_100m,0.96875,0.75
0,4,18,famous_le_10m,1.0,0.8
0,4,18,famous_le_100m,0.96875,0.75
0,4,19,famous_le_10m,1.0,0.8
0,4,19,famous_le_100m,0.96875,0.75
0,4,20,famous_le_10m,1.0,0.8
0,4,20,famous_le_100m,0.96875,0.75
0,4,21,famous_le_10m,1.0,0.8
0,4,21,famous_le_100m,0.96875,0.75
0,4,22,famous_le_10m,1.0,0.8
0,4,22,famous_le_100m,0.96875,0.75
0,4,23,famous_le_10m,1.0,0.8
0,4,23,famous_le_100m,0.96875,0.75
0,5,1,famous_le_10m,0.5,0.5
0,5,1,famous_le_100m,0.5,0.46875
0,5,2,famous_le_10m,0.5,0.5
0,5,2,famous_le_100m,0.5,0.46875
0,5,3,famous_le_10m,0.5,0.6
0,5,3,famous_le_100m,0.5,0.4375
0,5,4,famous_le_10m,0.6,0.6
0,5,4,famous_le_100m,0.53125,0.40625
0,5,5,famous_le_10m,0.5,0.6
0,5,5,famous_le_100m,0.5,0.375
0,5,6,famous_le_10m,1.0,0.8
0,5,6,famous_le_100m,0.96875,0.71875
0,5,7,famous_le_10m,1.0,0.8
0,5,7,famous_le_100m,0.9375,0.71875
0,5,8,famous_le_10m,1.0,0.8
0,5,8,famous_le_100m,0.96875,0.71875
0,5,9,famous_le_10m,1.0,0.8
