repeat,baseline,X,accuracy,fold
0,XGBClassifier,1,0.2340425531914893,0
1,XGBClassifier,1,0.2765957446808511,1
2,XGBClassifier,1,0.2608695652173913,2
3,XGBClassifier,1,0.3043478260869565,3
4,XGBClassifier,1,0.2608695652173913,4
5,XGBClassifier,1,0.3404255319148936,5
6,XGBClassifier,1,0.2978723404255319,6
7,XGBClassifier,1,0.2391304347826087,7
8,XGBClassifier,1,0.3260869565217391,8
9,XGBClassifier,1,0.217391304347826,9
10,XGBClassifier,1,0.2978723404255319,10
11,XGBClassifier,1,0.1914893617021276,11
12,XGBClassifier,1,0.1739130434782608,12
13,XGBClassifier,1,0.2391304347826087,13
14,XGBClassifier,1,0.108695652173913,14
15,XGBClassifier,1,0.2553191489361702,15
16,XGBClassifier,1,0.2553191489361702,16
17,XGBClassifier,1,0.391304347826087,17
18,XGBClassifier,1,0.3260869565217391,18
19,XGBClassifier,1,0.1956521739130435,19
20,XGBClassifier,1,0.1276595744680851,20
21,XGBClassifier,1,0.2340425531914893,21
22,XGBClassifier,1,0.2826086956521739,22
23,XGBClassifier,1,0.217391304347826,23
24,XGBClassifier,1,0.1956521739130435,24
0,XGBClassifier,10,0.425531914893617,0
1,XGBClassifier,10,0.2553191489361702,1
2,XGBClassifier,10,0.3260869565217391,2
3,XGBClassifier,10,0.3260869565217391,3
4,XGBClassifier,10,0.4565217391304347,4
5,XGBClassifier,10,0.425531914893617,5
6,XGBClassifier,10,0.4680851063829787,6
7,XGBClassifier,10,0.3695652173913043,7
8,XGBClassifier,10,0.3695652173913043,8
9,XGBClassifier,10,0.3478260869565217,9
10,XGBClassifier,10,0.2978723404255319,10
11,XGBClassifier,10,0.3191489361702128,11
12,XGBClassifier,10,0.4130434782608695,12
13,XGBClassifier,10,0.4347826086956521,13
14,XGBClassifier,10,0.3043478260869565,14
15,XGBClassifier,10,0.3191489361702128,15
16,XGBClassifier,10,0.3191489361702128,16
17,XGBClassifier,10,0.4130434782608695,17
18,XGBClassifier,10,0.4565217391304347,18
19,XGBClassifier,10,0.3260869565217391,19
20,XGBClassifier,10,0.3404255319148936,20
21,XGBClassifier,10,0.2978723404255319,21
22,XGBClassifier,10,0.4565217391304347,22
23,XGBClassifier,10,0.3260869565217391,23
24,XGBClassifier,10,0.3695652173913043,24
0,XGBClassifier,11,0.5319148936170213,0
