repeat,baseline,X,accuracy,fold
0,MalConvLite,1,0.4893617021276595,0
1,MalConvLite,1,0.5106382978723404,1
2,MalConvLite,1,0.5,2
3,MalConvLite,1,0.5,3
4,MalConvLite,1,0.5,4
0,MalConvLite,2,0.4893617021276595,0
1,MalConvLite,2,0.5106382978723404,1
2,MalConvLite,2,0.5,2
3,MalConvLite,2,0.5,3
4,MalConvLite,2,0.5,4
0,MalConvLite,3,0.4893617021276595,0
1,MalConvLite,3,0.5106382978723404,1
2,MalConvLite,3,0.5,2
3,MalConvLite,3,0.5,3
4,MalConvLite,3,0.5,4
0,MalConvLite,4,0.4893617021276595,0
1,MalConvLite,4,0.5106382978723404,1
2,MalConvLite,4,0.5,2
3,MalConvLite,4,0.5,3
4,MalConvLite,4,0.5,4
0,MalConvLite,5,0.4893617021276595,0
1,MalConvLite,5,0.5106382978723404,1
2,MalConvLite,5,0.5,2
3,MalConvLite,5,0.5,3
4,MalConvLite,5,0.5,4
0,MalConvLite,6,0.4893617021276595,0
1,MalConvLite,6,0.5106382978723404,1
2,MalConvLite,6,0.5,2
3,MalConvLite,6,0.5,3
4,MalConvLite,6,0.5,4
0,MalConvLite,7,0.4893617021276595,0
1,MalConvLite,7,0.5106382978723404,1
2,MalConvLite,7,0.4782608695652174,2
3,MalConvLite,7,0.5,3
4,MalConvLite,7,0.5,4
0,MalConvLite,8,0.4893617021276595,0
1,MalConvLite,8,0.5106382978723404,1
2,MalConvLite,8,0.5,2
3,MalConvLite,8,0.5,3
4,MalConvLite,8,0.5,4
0,MalConvLite,9,0.4042553191489361,0
1,MalConvLite,9,0.5106382978723404,1
2,MalConvLite,9,0.5,2
3,MalConvLite,9,0.3043478260869565,3
4,MalConvLite,9,0.5,4
0,MalConvLite,10,0.4893617021276595,0
1,MalConvLite,10,0.5106382978723404,1
2,MalConvLite,10,0.5652173913043478,2
3,MalConvLite,10,0.4347826086956521,3
4,MalConvLite,10,0.5,4
0,MalConvLite,11,0.4893617021276595,0
1,MalConvLite,11,0.5106382978723404,1
2,MalConvLite,11,0.5,2
3,MalConvLite,11,0.5217391304347826,3
4,MalConvLite,11,0.3478260869565217,4
0,MalConvLite,12,0.4893617021276595,0
1,MalConvLite,12,0.5106382978723404,1
2,MalConvLite,12,0.4782608695652174,2
3,MalConvLite,12,0.4347826086956521,3
4,MalConvLite,12,0.5,4
0,MalConvLite,13,0.5106382978723404,0
1,MalConvLite,13,0.5319148936170213,1
2,MalConvLite,13,0.5,2
3,MalConvLite,13,0.3478260869565217,3
4,MalConvLite,13,0.5,4
0,MalConvLite,14,0.5106382978723404,0
1,MalConvLite,14,0.5106382978723404,1
2,MalConvLite,14,0.4565217391304347,2
3,MalConvLite,14,0.4130434782608695,3
4,MalConvLite,14,0.5,4
0,MalConvLite,15,0.4680851063829787,0
1,MalConvLite,15,0.4893617021276595,1
2,MalConvLite,15,0.5,2
3,MalConvLite,15,0.4565217391304347,3
4,MalConvLite,15,0.5,4
0,MalConvLite,16,0.4893617021276595,0
1,MalConvLite,16,0.5531914893617021,1
2,MalConvLite,16,0.4565217391304347,2
3,MalConvLite,16,0.4782608695652174,3
4,MalConvLite,16,0.5,4
0,MalConvLite,17,0.425531914893617,0
1,MalConvLite,17,0.574468085106383,1
2,MalConvLite,17,0.5434782608695652,2
3,MalConvLite,17,0.391304347826087,3
4,MalConvLite,17,0.5,4
0,MalConvLite,18,0.4893617021276595,0
1,MalConvLite,18,0.4893617021276595,1
2,MalConvLite,18,0.3695652173913043,2
3,MalConvLite,18,0.5652173913043478,3
4,MalConvLite,18,0.5,4
0,MalConvLite,19,0.5106382978723404,0
1,MalConvLite,19,0.5106382978723404,1
2,MalConvLite,19,0.5,2
3,MalConvLite,19,0.4347826086956521,3
4,MalConvLite,19,0.391304347826087,4
0,MalConvLite,20,0.5319148936170213,0
1,MalConvLite,20,0.5319148936170213,1
2,MalConvLite,20,0.4347826086956521,2
3,MalConvLite,20,0.5217391304347826,3
4,MalConvLite,20,0.5,4
0,MalConvLite,21,0.5106382978723404,0
1,MalConvLite,21,0.4893617021276595,1
2,MalConvLite,21,0.5,2
3,MalConvLite,21,0.5,3
4,MalConvLite,21,0.5,4
0,MalConvLite,22,0.425531914893617,0
1,MalConvLite,22,0.4680851063829787,1
2,MalConvLite,22,0.4347826086956521,2
3,MalConvLite,22,0.5,3
4,MalConvLite,22,0.5652173913043478,4
0,MalConvLite,23,0.5531914893617021,0
1,MalConvLite,23,0.4042553191489361,1
2,MalConvLite,23,0.6304347826086957,2
3,MalConvLite,23,0.6086956521739131,3
4,MalConvLite,23,0.5,4
