repeat,baseline,X,accuracy,fold
0,KNeighborsClassifier,1,0.0851063829787234,0
1,KNeighborsClassifier,1,0.1063829787234042,1
2,KNeighborsClassifier,1,0.0869565217391304,2
3,KNeighborsClassifier,1,0.108695652173913,3
4,KNeighborsClassifier,1,0.0434782608695652,4
5,KNeighborsClassifier,1,0.1276595744680851,5
6,KNeighborsClassifier,1,0.1489361702127659,6
7,KNeighborsClassifier,1,0.1304347826086956,7
8,KNeighborsClassifier,1,0.1304347826086956,8
9,KNeighborsClassifier,1,0.108695652173913,9
10,KNeighborsClassifier,1,0.1276595744680851,10
11,KNeighborsClassifier,1,0.0425531914893617,11
12,KNeighborsClassifier,1,0.0217391304347826,12
13,KNeighborsClassifier,1,0.108695652173913,13
14,KNeighborsClassifier,1,0.0217391304347826,14
15,KNeighborsClassifier,1,0.1063829787234042,15
16,KNeighborsClassifier,1,0.1063829787234042,16
17,KNeighborsClassifier,1,0.1521739130434782,17
18,KNeighborsClassifier,1,0.1956521739130435,18
19,KNeighborsClassifier,1,0.108695652173913,19
20,KNeighborsClassifier,1,0.1063829787234042,20
21,KNeighborsClassifier,1,0.1276595744680851,21
22,KNeighborsClassifier,1,0.108695652173913,22
23,KNeighborsClassifier,1,0.108695652173913,23
24,KNeighborsClassifier,1,0.0869565217391304,24
0,KNeighborsClassifier,2,0.0851063829787234,0
1,KNeighborsClassifier,2,0.1276595744680851,1
2,KNeighborsClassifier,2,0.0869565217391304,2
3,KNeighborsClassifier,2,0.108695652173913,3
4,KNeighborsClassifier,2,0.0652173913043478,4
5,KNeighborsClassifier,2,0.1276595744680851,5
6,KNeighborsClassifier,2,0.1489361702127659,6
7,KNeighborsClassifier,2,0.0869565217391304,7
8,KNeighborsClassifier,2,0.1304347826086956,8
9,KNeighborsClassifier,2,0.108695652173913,9
10,KNeighborsClassifier,2,0.1489361702127659,10
11,KNeighborsClassifier,2,0.0425531914893617,11
12,KNeighborsClassifier,2,0.0217391304347826,12
13,KNeighborsClassifier,2,0.0869565217391304,13
14,KNeighborsClassifier,2,0.0217391304347826,14
15,KNeighborsClassifier,2,0.1063829787234042,15
16,KNeighborsClassifier,2,0.0851063829787234,16
17,KNeighborsClassifier,2,0.1521739130434782,17
18,KNeighborsClassifier,2,0.1739130434782608,18
19,KNeighborsClassifier,2,0.108695652173913,19
20,KNeighborsClassifier,2,0.1063829787234042,20
21,KNeighborsClassifier,2,0.1276595744680851,21
22,KNeighborsClassifier,2,0.108695652173913,22
23,KNeighborsClassifier,2,0.108695652173913,23
24,KNeighborsClassifier,2,0.0652173913043478,24
0,KNeighborsClassifier,3,0.0851063829787234,0
1,KNeighborsClassifier,3,0.1063829787234042,1
2,KNeighborsClassifier,3,0.0869565217391304,2
3,KNeighborsClassifier,3,0.108695652173913,3
4,KNeighborsClassifier,3,0.0434782608695652,4
5,KNeighborsClassifier,3,0.1276595744680851,5
6,KNeighborsClassifier,3,0.1276595744680851,6
7,KNeighborsClassifier,3,0.1304347826086956,7
8,KNeighborsClassifier,3,0.108695652173913,8
9,KNeighborsClassifier,3,0.1304347826086956,9
10,KNeighborsClassifier,3,0.1489361702127659,10
11,KNeighborsClassifier,3,0.0425531914893617,11
12,KNeighborsClassifier,3,0.0217391304347826,12
13,KNeighborsClassifier,3,0.108695652173913,13
14,KNeighborsClassifier,3,0.0434782608695652,14
15,KNeighborsClassifier,3,0.0851063829787234,15
16,KNeighborsClassifier,3,0.1063829787234042,16
17,KNeighborsClassifier,3,0.1739130434782608,17
18,KNeighborsClassifier,3,0.1956521739130435,18
19,KNeighborsClassifier,3,0.0869565217391304,19
20,KNeighborsClassifier,3,0.1276595744680851,20
21,KNeighborsClassifier,3,0.1276595744680851,21
22,KNeighborsClassifier,3,0.108695652173913,22
23,KNeighborsClassifier,3,0.0869565217391304,23
24,KNeighborsClassifier,3,0.0652173913043478,24
0,KNeighborsClassifier,4,0.0638297872340425,0
1,KNeighborsClassifier,4,0.1063829787234042,1
2,KNeighborsClassifier,4,0.0869565217391304,2
3,KNeighborsClassifier,4,0.0869565217391304,3
4,KNeighborsClassifier,4,0.0652173913043478,4
5,KNeighborsClassifier,4,0.1063829787234042,5
6,KNeighborsClassifier,4,0.1489361702127659,6
7,KNeighborsClassifier,4,0.1304347826086956,7
8,KNeighborsClassifier,4,0.108695652173913,8
9,KNeighborsClassifier,4,0.108695652173913,9
10,KNeighborsClassifier,4,0.1489361702127659,10
11,KNeighborsClassifier,4,0.0425531914893617,11
12,KNeighborsClassifier,4,0.0217391304347826,12
13,KNeighborsClassifier,4,0.108695652173913,13
14,KNeighborsClassifier,4,0.0217391304347826,14
15,KNeighborsClassifier,4,0.1063829787234042,15
16,KNeighborsClassifier,4,0.1063829787234042,16
17,KNeighborsClassifier,4,0.1304347826086956,17
18,KNeighborsClassifier,4,0.1739130434782608,18
19,KNeighborsClassifier,4,0.1521739130434782,19
20,KNeighborsClassifier,4,0.0851063829787234,20
21,KNeighborsClassifier,4,0.1276595744680851,21
22,KNeighborsClassifier,4,0.108695652173913,22
23,KNeighborsClassifier,4,0.108695652173913,23
24,KNeighborsClassifier,4,0.0652173913043478,24
0,KNeighborsClassifier,5,0.0851063829787234,0
1,KNeighborsClassifier,5,0.1063829787234042,1
2,KNeighborsClassifier,5,0.0652173913043478,2
3,KNeighborsClassifier,5,0.108695652173913,3
4,KNeighborsClassifier,5,0.0434782608695652,4
5,KNeighborsClassifier,5,0.1489361702127659,5
6,KNeighborsClassifier,5,0.1489361702127659,6
7,KNeighborsClassifier,5,0.1304347826086956,7
8,KNeighborsClassifier,5,0.108695652173913,8
9,KNeighborsClassifier,5,0.108695652173913,9
10,KNeighborsClassifier,5,0.1276595744680851,10
11,KNeighborsClassifier,5,0.0,11
12,KNeighborsClassifier,5,0.0217391304347826,12
13,KNeighborsClassifier,5,0.108695652173913,13
14,KNeighborsClassifier,5,0.0217391304347826,14
15,KNeighborsClassifier,5,0.1063829787234042,15
16,KNeighborsClassifier,5,0.0851063829787234,16
17,KNeighborsClassifier,5,0.1521739130434782,17
18,KNeighborsClassifier,5,0.2391304347826087,18
19,KNeighborsClassifier,5,0.108695652173913,19
20,KNeighborsClassifier,5,0.0638297872340425,20
21,KNeighborsClassifier,5,0.1063829787234042,21
22,KNeighborsClassifier,5,0.1304347826086956,22
23,KNeighborsClassifier,5,0.108695652173913,23
24,KNeighborsClassifier,5,0.0869565217391304,24
0,KNeighborsClassifier,6,0.1063829787234042,0
1,KNeighborsClassifier,6,0.0851063829787234,1
2,KNeighborsClassifier,6,0.108695652173913,2
3,KNeighborsClassifier,6,0.108695652173913,3
4,KNeighborsClassifier,6,0.0652173913043478,4
5,KNeighborsClassifier,6,0.1489361702127659,5
6,KNeighborsClassifier,6,0.1702127659574468,6
7,KNeighborsClassifier,6,0.1304347826086956,7
8,KNeighborsClassifier,6,0.1521739130434782,8
9,KNeighborsClassifier,6,0.1304347826086956,9
10,KNeighborsClassifier,6,0.1702127659574468,10
11,KNeighborsClassifier,6,0.0425531914893617,11
12,KNeighborsClassifier,6,0.0217391304347826,12
13,KNeighborsClassifier,6,0.1304347826086956,13
14,KNeighborsClassifier,6,0.0217391304347826,14
15,KNeighborsClassifier,6,0.1063829787234042,15
16,KNeighborsClassifier,6,0.0425531914893617,16
17,KNeighborsClassifier,6,0.1304347826086956,17
18,KNeighborsClassifier,6,0.217391304347826,18
19,KNeighborsClassifier,6,0.1304347826086956,19
20,KNeighborsClassifier,6,0.1063829787234042,20
21,KNeighborsClassifier,6,0.0851063829787234,21
22,KNeighborsClassifier,6,0.108695652173913,22
23,KNeighborsClassifier,6,0.108695652173913,23
24,KNeighborsClassifier,6,0.0652173913043478,24
0,KNeighborsClassifier,7,0.0638297872340425,0
1,KNeighborsClassifier,7,0.0851063829787234,1
2,KNeighborsClassifier,7,0.108695652173913,2
3,KNeighborsClassifier,7,0.108695652173913,3
4,KNeighborsClassifier,7,0.0869565217391304,4
5,KNeighborsClassifier,7,0.1063829787234042,5
6,KNeighborsClassifier,7,0.1489361702127659,6
7,KNeighborsClassifier,7,0.108695652173913,7
8,KNeighborsClassifier,7,0.1304347826086956,8
9,KNeighborsClassifier,7,0.1521739130434782,9
10,KNeighborsClassifier,7,0.1276595744680851,10
11,KNeighborsClassifier,7,0.0638297872340425,11
12,KNeighborsClassifier,7,0.0217391304347826,12
13,KNeighborsClassifier,7,0.108695652173913,13
14,KNeighborsClassifier,7,0.0217391304347826,14
15,KNeighborsClassifier,7,0.1276595744680851,15
16,KNeighborsClassifier,7,0.1276595744680851,16
17,KNeighborsClassifier,7,0.1739130434782608,17
18,KNeighborsClassifier,7,0.1739130434782608,18
19,KNeighborsClassifier,7,0.1304347826086956,19
20,KNeighborsClassifier,7,0.1063829787234042,20
21,KNeighborsClassifier,7,0.1063829787234042,21
22,KNeighborsClassifier,7,0.108695652173913,22
23,KNeighborsClassifier,7,0.0869565217391304,23
24,KNeighborsClassifier,7,0.0652173913043478,24
0,KNeighborsClassifier,8,0.0638297872340425,0
1,KNeighborsClassifier,8,0.0425531914893617,1
2,KNeighborsClassifier,8,0.0652173913043478,2
3,KNeighborsClassifier,8,0.108695652173913,3
4,KNeighborsClassifier,8,0.0652173913043478,4
5,KNeighborsClassifier,8,0.1063829787234042,5
6,KNeighborsClassifier,8,0.1489361702127659,6
7,KNeighborsClassifier,8,0.1304347826086956,7
8,KNeighborsClassifier,8,0.108695652173913,8
9,KNeighborsClassifier,8,0.1521739130434782,9
10,KNeighborsClassifier,8,0.1489361702127659,10
11,KNeighborsClassifier,8,0.0638297872340425,11
12,KNeighborsClassifier,8,0.0434782608695652,12
13,KNeighborsClassifier,8,0.108695652173913,13
14,KNeighborsClassifier,8,0.0434782608695652,14
15,KNeighborsClassifier,8,0.1489361702127659,15
16,KNeighborsClassifier,8,0.1063829787234042,16
17,KNeighborsClassifier,8,0.1521739130434782,17
18,KNeighborsClassifier,8,0.217391304347826,18
19,KNeighborsClassifier,8,0.0652173913043478,19
20,KNeighborsClassifier,8,0.0638297872340425,20
21,KNeighborsClassifier,8,0.1276595744680851,21
22,KNeighborsClassifier,8,0.0869565217391304,22
23,KNeighborsClassifier,8,0.1521739130434782,23
24,KNeighborsClassifier,8,0.0869565217391304,24
0,KNeighborsClassifier,9,0.0638297872340425,0
1,KNeighborsClassifier,9,0.1063829787234042,1
2,KNeighborsClassifier,9,0.108695652173913,2
3,KNeighborsClassifier,9,0.0652173913043478,3
4,KNeighborsClassifier,9,0.0652173913043478,4
5,KNeighborsClassifier,9,0.0638297872340425,5
6,KNeighborsClassifier,9,0.1914893617021276,6
7,KNeighborsClassifier,9,0.1521739130434782,7
8,KNeighborsClassifier,9,0.0869565217391304,8
9,KNeighborsClassifier,9,0.0869565217391304,9
10,KNeighborsClassifier,9,0.1489361702127659,10
11,KNeighborsClassifier,9,0.0425531914893617,11
12,KNeighborsClassifier,9,0.0434782608695652,12
13,KNeighborsClassifier,9,0.1304347826086956,13
14,KNeighborsClassifier,9,0.0,14
15,KNeighborsClassifier,9,0.1063829787234042,15
16,KNeighborsClassifier,9,0.0638297872340425,16
17,KNeighborsClassifier,9,0.1521739130434782,17
18,KNeighborsClassifier,9,0.217391304347826,18
19,KNeighborsClassifier,9,0.1521739130434782,19
20,KNeighborsClassifier,9,0.1489361702127659,20
21,KNeighborsClassifier,9,0.1489361702127659,21
22,KNeighborsClassifier,9,0.108695652173913,22
23,KNeighborsClassifier,9,0.1521739130434782,23
24,KNeighborsClassifier,9,0.0869565217391304,24
0,KNeighborsClassifier,10,0.0851063829787234,0
1,KNeighborsClassifier,10,0.0638297872340425,1
2,KNeighborsClassifier,10,0.0869565217391304,2
3,KNeighborsClassifier,10,0.0869565217391304,3
4,KNeighborsClassifier,10,0.0652173913043478,4
5,KNeighborsClassifier,10,0.1063829787234042,5
6,KNeighborsClassifier,10,0.1489361702127659,6
7,KNeighborsClassifier,10,0.1304347826086956,7
8,KNeighborsClassifier,10,0.0869565217391304,8
9,KNeighborsClassifier,10,0.108695652173913,9
10,KNeighborsClassifier,10,0.1063829787234042,10
11,KNeighborsClassifier,10,0.0425531914893617,11
12,KNeighborsClassifier,10,0.0434782608695652,12
13,KNeighborsClassifier,10,0.0869565217391304,13
14,KNeighborsClassifier,10,0.0217391304347826,14
15,KNeighborsClassifier,10,0.1489361702127659,15
16,KNeighborsClassifier,10,0.0425531914893617,16
17,KNeighborsClassifier,10,0.1304347826086956,17
18,KNeighborsClassifier,10,0.1956521739130435,18
19,KNeighborsClassifier,10,0.108695652173913,19
20,KNeighborsClassifier,10,0.1276595744680851,20
21,KNeighborsClassifier,10,0.0851063829787234,21
22,KNeighborsClassifier,10,0.1304347826086956,22
23,KNeighborsClassifier,10,0.108695652173913,23
24,KNeighborsClassifier,10,0.0434782608695652,24
0,KNeighborsClassifier,11,0.0212765957446808,0
1,KNeighborsClassifier,11,0.1063829787234042,1
2,KNeighborsClassifier,11,0.0434782608695652,2
3,KNeighborsClassifier,11,0.0652173913043478,3
4,KNeighborsClassifier,11,0.0434782608695652,4
5,KNeighborsClassifier,11,0.0638297872340425,5
6,KNeighborsClassifier,11,0.1702127659574468,6
7,KNeighborsClassifier,11,0.1521739130434782,7
