repeat,baseline,X,accuracy,fold
0,XGBClassifier,1,0.0851063829787234,0
1,XGBClassifier,1,0.1063829787234042,1
2,XGBClassifier,1,0.0652173913043478,2
3,XGBClassifier,1,0.1304347826086956,3
4,XGBClassifier,1,0.0652173913043478,4
5,XGBClassifier,1,0.1276595744680851,5
6,XGBClassifier,1,0.1489361702127659,6
7,XGBClassifier,1,0.1521739130434782,7
8,XGBClassifier,1,0.1304347826086956,8
9,XGBClassifier,1,0.108695652173913,9
10,XGBClassifier,1,0.1489361702127659,10
11,XGBClassifier,1,0.0425531914893617,11
12,XGBClassifier,1,0.0217391304347826,12
13,XGBClassifier,1,0.108695652173913,13
14,XGBClassifier,1,0.0217391304347826,14
15,XGBClassifier,1,0.1063829787234042,15
16,XGBClassifier,1,0.1063829787234042,16
17,XGBClassifier,1,0.1521739130434782,17
18,XGBClassifier,1,0.1956521739130435,18
19,XGBClassifier,1,0.1304347826086956,19
20,XGBClassifier,1,0.1063829787234042,20
21,XGBClassifier,1,0.1276595744680851,21
22,XGBClassifier,1,0.108695652173913,22
23,XGBClassifier,1,0.108695652173913,23
24,XGBClassifier,1,0.0652173913043478,24
0,XGBClassifier,2,0.0638297872340425,0
1,XGBClassifier,2,0.0851063829787234,1
2,XGBClassifier,2,0.0652173913043478,2
3,XGBClassifier,2,0.108695652173913,3
4,XGBClassifier,2,0.0652173913043478,4
5,XGBClassifier,2,0.1276595744680851,5
6,XGBClassifier,2,0.1489361702127659,6
7,XGBClassifier,2,0.1304347826086956,7
8,XGBClassifier,2,0.108695652173913,8
9,XGBClassifier,2,0.0869565217391304,9
10,XGBClassifier,2,0.1489361702127659,10
11,XGBClassifier,2,0.0425531914893617,11
12,XGBClassifier,2,0.0217391304347826,12
13,XGBClassifier,2,0.0869565217391304,13
14,XGBClassifier,2,0.0217391304347826,14
15,XGBClassifier,2,0.1063829787234042,15
16,XGBClassifier,2,0.0851063829787234,16
17,XGBClassifier,2,0.1521739130434782,17
18,XGBClassifier,2,0.2391304347826087,18
19,XGBClassifier,2,0.1304347826086956,19
20,XGBClassifier,2,0.0851063829787234,20
21,XGBClassifier,2,0.1489361702127659,21
22,XGBClassifier,2,0.108695652173913,22
23,XGBClassifier,2,0.1304347826086956,23
24,XGBClassifier,2,0.0652173913043478,24
0,XGBClassifier,3,0.0851063829787234,0
1,XGBClassifier,3,0.1063829787234042,1
2,XGBClassifier,3,0.0869565217391304,2
3,XGBClassifier,3,0.0652173913043478,3
4,XGBClassifier,3,0.0652173913043478,4
5,XGBClassifier,3,0.1276595744680851,5
6,XGBClassifier,3,0.1489361702127659,6
7,XGBClassifier,3,0.1521739130434782,7
8,XGBClassifier,3,0.1521739130434782,8
9,XGBClassifier,3,0.108695652173913,9
10,XGBClassifier,3,0.1702127659574468,10
11,XGBClassifier,3,0.0425531914893617,11
12,XGBClassifier,3,0.0217391304347826,12
13,XGBClassifier,3,0.108695652173913,13
14,XGBClassifier,3,0.0217391304347826,14
15,XGBClassifier,3,0.1063829787234042,15
16,XGBClassifier,3,0.0638297872340425,16
17,XGBClassifier,3,0.2391304347826087,17
18,XGBClassifier,3,0.1739130434782608,18
19,XGBClassifier,3,0.1739130434782608,19
20,XGBClassifier,3,0.0851063829787234,20
21,XGBClassifier,3,0.1276595744680851,21
22,XGBClassifier,3,0.1304347826086956,22
23,XGBClassifier,3,0.108695652173913,23
24,XGBClassifier,3,0.0434782608695652,24
0,XGBClassifier,4,0.0851063829787234,0
1,XGBClassifier,4,0.1276595744680851,1
2,XGBClassifier,4,0.0869565217391304,2
3,XGBClassifier,4,0.1304347826086956,3
4,XGBClassifier,4,0.0652173913043478,4
5,XGBClassifier,4,0.1276595744680851,5
6,XGBClassifier,4,0.1702127659574468,6
7,XGBClassifier,4,0.108695652173913,7
8,XGBClassifier,4,0.1521739130434782,8
9,XGBClassifier,4,0.108695652173913,9
10,XGBClassifier,4,0.1489361702127659,10
11,XGBClassifier,4,0.0425531914893617,11
12,XGBClassifier,4,0.0217391304347826,12
13,XGBClassifier,4,0.0869565217391304,13
14,XGBClassifier,4,0.0217391304347826,14
