zoo,feature_type,lsb,clf,accuracy,recall,precision,f1,conf_mat
mnist,grads,1,HistGradientBoosting,0.1035,0.094,0.0958205912334352,0.0949015648662291,"[[113 887]
 [906  94]]"
mnist,grads,1,GradientBoosting,0.345,0.29,0.3258426966292135,0.3068783068783069,"[[400 600]
 [710 290]]"
mnist,grads,1,RandomForest,0.096,0.094,0.0943775100401606,0.094188376753507,"[[ 98 902]
 [906  94]]"
mnist,grads,2,HistGradientBoosting,0.105,0.092,0.0944558521560575,0.0932117527862208,"[[118 882]
 [908  92]]"
mnist,grads,2,GradientBoosting,0.336,0.273,0.3123569794050343,0.2913553895410885,"[[399 601]
 [727 273]]"
mnist,grads,2,RandomForest,0.096,0.089,0.0902636916835699,0.0896273917421953,"[[103 897]
 [911  89]]"
mnist,grads,3,HistGradientBoosting,0.105,0.087,0.0902489626556016,0.0885947046843177,"[[123 877]
 [913  87]]"
mnist,grads,3,GradientBoosting,0.3355,0.276,0.3132803632236095,0.2934609250398724,"[[395 605]
 [724 276]]"
mnist,grads,3,RandomForest,0.096,0.096,0.096,0.096,"[[ 96 904]
 [904  96]]"
mnist,grads,4,HistGradientBoosting,0.104,0.091,0.0934291581108829,0.0921985815602836,"[[117 883]
 [909  91]]"
mnist,grads,4,GradientBoosting,0.3365,0.285,0.3177257525083612,0.3004744333157617,"[[388 612]
 [715 285]]"
mnist,grads,4,RandomForest,0.096,0.091,0.0919191919191919,0.0914572864321607,"[[101 899]
 [909  91]]"
mnist,grads,5,HistGradientBoosting,0.104,0.101,0.1016096579476861,0.1013039117352056,"[[107 893]
 [899 101]]"
mnist,grads,5,GradientBoosting,0.3275,0.294,0.315112540192926,0.3041903776513192,"[[361 639]
 [706 294]]"
mnist,grads,5,RandomForest,0.096,0.081,0.0835051546391752,0.082233502538071,"[[111 889]
 [919  81]]"
mnist,grads,6,HistGradientBoosting,0.1075,0.098,0.0998980632008155,0.0989399293286219,"[[117 883]
 [902  98]]"
