image_rep,time,peak_memory,n_models,n_weights,run_i
s,0.000148773193359375,769.15625,10,10,0
rgb,0.000133514404296875,769.15625,10,10,0
bb,0.00014066696166992188,769.15625,10,10,0
phis,0.012159585952758789,769.328125,10,10,0
s,0.00012040138244628906,770.265625,10,100,0
rgb,9.870529174804688e-05,770.265625,10,100,0
bb,0.00018286705017089844,770.265625,10,100,0
phis,0.01389622688293457,770.265625,10,100,0
s,0.00015997886657714844,770.578125,10,1000,0
rgb,0.0004096031188964844,770.578125,10,1000,0
bb,0.0007090568542480469,770.890625,10,1000,0
phis,0.02631092071533203,771.046875,10,1000,0
s,0.00016760826110839844,771.671875,10,10000,0
rgb,0.0005133152008056641,771.828125,10,10000,0
bb,0.005968809127807617,775.90625,10,10000,0
phis,0.20751309394836426,777.0,10,10000,0
s,0.0003669261932373047,770.671875,100,10,0
rgb,0.00012612342834472656,770.671875,100,10,0
bb,0.0003018379211425781,770.671875,100,10,0
phis,0.11845088005065918,770.671875,100,10,0
s,0.00015401840209960938,770.671875,100,100,0
rgb,0.00017309188842773438,770.671875,100,100,0
bb,0.0009615421295166016,770.984375,100,100,0
phis,0.15224242210388184,771.140625,100,100,0
s,0.00015234947204589844,771.765625,100,1000,0
rgb,0.0006697177886962891,772.078125,100,1000,0
bb,0.007458209991455078,776.1015625,100,1000,0
phis,0.348388671875,777.1953125,100,1000,0
s,0.0010890960693359375,783.2109375,100,10000,0
rgb,0.0058498382568359375,785.0859375,100,10000,0
bb,0.05089211463928223,825.5859375,100,10000,0
phis,1.6216588020324707,836.63671875,100,10000,0
s,0.0001838207244873047,775.859375,1000,10,0
rgb,0.00015163421630859375,775.859375,1000,10,0
bb,0.0017821788787841797,775.859375,1000,10,0
phis,1.3006377220153809,775.859375,1000,10,0
s,0.00021576881408691406,775.859375,1000,100,0
rgb,0.0005457401275634766,775.859375,1000,100,0
bb,0.008270740509033203,776.484375,1000,100,0
phis,1.082169532775879,777.890625,1000,100,0
s,0.000545501708984375,783.203125,1000,1000,0
rgb,0.005818843841552734,786.171875,1000,1000,0
bb,0.04755282402038574,826.59375,1000,1000,0
phis,2.616826057434082,837.53125,1000,1000,0
s,0.008460760116577148,909.8671875,1000,10000,0
rgb,0.05066370964050293,911.390625,1000,10000,0
bb,0.4818260669708252,1260.5078125,1000,10000,0
phis,17.775516986846924,1448.9921875,1000,10000,0
s,0.00026154518127441406,772.51953125,10000,10,0
rgb,0.0010209083557128906,772.83203125,10000,10,0
bb,0.010831356048583984,781.4296875,10000,10,0
phis,9.227700471878052,788.77734375,10000,10,0
s,0.0006740093231201172,788.77734375,10000,100,0
rgb,0.004980564117431641,788.77734375,10000,100,0
bb,0.05198478698730469,825.4765625,10000,100,0
phis,10.595672845840454,844.23828125,10000,100,0
s,0.00843667984008789,922.50390625,10000,1000,0
rgb,0.05305218696594238,917.62890625,10000,1000,0
bb,0.6536881923675537,1258.6015625,10000,1000,0
phis,26.1680109500885,1438.27734375,10000,1000,0
s,0.08384513854980469,1895.890625,10000,10000,0
rgb,0.4837229251861572,1759.58203125,10000,10000,0
bb,4.642164468765259,5417.75,10000,10000,0
phis,173.4611258506775,7259.8046875,10000,10000,0
s,0.00018286705017089844,785.28125,10,10,1
rgb,0.00012302398681640625,785.28125,10,10,1
bb,0.0001289844512939453,785.28125,10,10,1
phis,0.011677742004394531,785.28125,10,10,1
s,0.00014781951904296875,785.28125,10,100,1
rgb,0.0001201629638671875,785.28125,10,100,1
bb,0.0001666545867919922,785.28125,10,100,1
phis,0.013737678527832031,785.28125,10,100,1
s,0.0002200603485107422,785.28125,10,1000,1
rgb,0.0001347064971923828,785.28125,10,1000,1
bb,0.0009071826934814453,785.28125,10,1000,1
phis,0.03660106658935547,785.28125,10,1000,1
s,0.00018405914306640625,785.28125,10,10000,1
rgb,0.0006444454193115234,785.28125,10,10000,1
bb,0.006009817123413086,785.28125,10,10000,1
phis,0.14717888832092285,785.28125,10,10000,1
s,0.0003597736358642578,785.28125,100,10,1
rgb,9.894371032714844e-05,785.28125,100,10,1
bb,0.0002415180206298828,785.28125,100,10,1
phis,0.13356757164001465,785.28125,100,10,1
s,0.00018715858459472656,785.28125,100,100,1
rgb,0.0002205371856689453,785.28125,100,100,1
bb,0.0008227825164794922,785.28125,100,100,1
phis,0.11087489128112793,785.28125,100,100,1
s,0.00017595291137695312,785.28125,100,1000,1
rgb,0.0005753040313720703,785.28125,100,1000,1
bb,0.0059661865234375,785.28125,100,1000,1
phis,0.23752689361572266,785.28125,100,1000,1
s,0.0004622936248779297,785.28125,100,10000,1
rgb,0.004541158676147461,786.375,100,10000,1
bb,0.04752612113952637,825.77734375,100,10000,1
phis,1.7624921798706055,836.83984375,100,10000,1
s,0.00017714500427246094,771.12109375,1000,10,1
rgb,0.00014829635620117188,771.12109375,1000,10,1
bb,0.0013442039489746094,772.05859375,1000,10,1
phis,0.9225256443023682,772.68359375,1000,10,1
s,0.00016260147094726562,772.68359375,1000,100,1
rgb,0.000514984130859375,772.68359375,1000,100,1
bb,0.006321430206298828,776.74609375,1000,100,1
phis,1.0623526573181152,778.15234375,1000,100,1
s,0.0005421638488769531,783.46484375,1000,1000,1
rgb,0.00422358512878418,786.43359375,1000,1000,1
bb,0.049117088317871094,826.92578125,1000,1000,1
phis,2.492155075073242,837.86328125,1000,1000,1
s,0.009061336517333984,910.2734375,1000,10000,1
rgb,0.05041146278381348,915.88671875,1000,10000,1
bb,0.46772241592407227,1254.85546875,1000,10000,1
phis,17.459141492843628,1479.32421875,1000,10000,1
s,0.00032520294189453125,772.8515625,10000,10,1
rgb,0.0008358955383300781,773.0078125,10000,10,1
bb,0.012514352798461914,781.58984375,10000,10,1
phis,9.14676570892334,788.94140625,10000,10,1
s,0.0005974769592285156,788.94140625,10000,100,1
rgb,0.005892753601074219,788.94140625,10000,100,1
bb,0.06778264045715332,825.84765625,10000,100,1
phis,10.652802467346191,844.66015625,10000,100,1
s,0.009245634078979492,922.91015625,10000,1000,1
rgb,0.07113909721374512,911.91015625,10000,1000,1
bb,0.47636842727661133,1275.30078125,10000,1000,1
phis,25.994805097579956,1490.5234375,10000,1000,1
s,0.08347940444946289,1888.01171875,10000,10000,1
rgb,0.4876105785369873,1819.703125,10000,10000,1
bb,4.782661199569702,5357.65625,10000,10000,1
phis,174.40754055976868,7225.9453125,10000,10000,1
s,0.00018072128295898438,785.41796875,10,10,2
rgb,9.298324584960938e-05,785.41796875,10,10,2
bb,0.0001239776611328125,785.41796875,10,10,2
phis,0.013232231140136719,785.41796875,10,10,2
s,0.0001533031463623047,785.41796875,10,100,2
rgb,9.393692016601562e-05,785.41796875,10,100,2
bb,0.00015997886657714844,785.41796875,10,100,2
phis,0.013644933700561523,785.41796875,10,100,2
s,0.00018310546875,785.41796875,10,1000,2
rgb,0.00013113021850585938,785.41796875,10,1000,2
bb,0.0007154941558837891,785.41796875,10,1000,2
phis,0.026635408401489258,785.41796875,10,1000,2
s,0.00013899803161621094,785.41796875,10,10000,2
rgb,0.0007369518280029297,785.41796875,10,10000,2
bb,0.006908416748046875,785.41796875,10,10000,2
phis,0.15503907203674316,785.41796875,10,10000,2
s,0.0001575946807861328,785.41796875,100,10,2
rgb,9.274482727050781e-05,785.41796875,100,10,2
bb,0.0005140304565429688,785.41796875,100,10,2
phis,0.13370060920715332,785.41796875,100,10,2
s,0.00019025802612304688,785.41796875,100,100,2
rgb,0.00017023086547851562,785.41796875,100,100,2
bb,0.0010061264038085938,785.41796875,100,100,2
phis,0.15425324440002441,785.41796875,100,100,2
s,0.00021696090698242188,785.41796875,100,1000,2
rgb,0.0005230903625488281,785.41796875,100,1000,2
bb,0.006178855895996094,785.41796875,100,1000,2
phis,0.31560754776000977,785.57421875,100,1000,2
s,0.0005011558532714844,785.57421875,100,10000,2
rgb,0.00435948371887207,786.66796875,100,10000,2
bb,0.04782605171203613,826.16015625,100,10000,2
phis,1.5777459144592285,837.22265625,100,10000,2
s,0.00019979476928710938,771.25390625,1000,10,2
rgb,0.00020503997802734375,771.25390625,1000,10,2
bb,0.001468658447265625,771.87890625,1000,10,2
