run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb,model_arch
0,famous_le_10m,0,0.8,0.6,8,osl_siamese_cnn
0,famous_le_10m,8,0.2,0.4,8,osl_siamese_cnn
1,famous_le_10m,0,0.0,0.2,8,osl_siamese_cnn
1,famous_le_10m,8,1.0,1.0,8,osl_siamese_cnn
2,famous_le_10m,0,0.4,0.4,8,osl_siamese_cnn
2,famous_le_10m,8,0.6,0.2,8,osl_siamese_cnn
3,famous_le_10m,0,0.8,0.4,8,osl_siamese_cnn
3,famous_le_10m,8,0.0,0.4,8,osl_siamese_cnn
4,famous_le_10m,0,0.0,0.6,8,osl_siamese_cnn
4,famous_le_10m,8,1.0,0.6,8,osl_siamese_cnn
0,famous_le_10m,0,0.4,0.4,11,osl_siamese_cnn
0,famous_le_10m,11,0.4,0.6,11,osl_siamese_cnn
1,famous_le_10m,0,0.2,0.8,11,osl_siamese_cnn
1,famous_le_10m,11,1.0,0.4,11,osl_siamese_cnn
2,famous_le_10m,0,0.0,1.0,11,osl_siamese_cnn
2,famous_le_10m,11,1.0,0.2,11,osl_siamese_cnn
3,famous_le_10m,0,0.2,0.2,11,osl_siamese_cnn
3,famous_le_10m,11,0.8,0.8,11,osl_siamese_cnn
4,famous_le_10m,0,0.8,0.8,11,osl_siamese_cnn
4,famous_le_10m,11,0.0,0.2,11,osl_siamese_cnn
0,famous_le_10m,0,0.8,0.4,14,osl_siamese_cnn
0,famous_le_10m,14,0.2,0.4,14,osl_siamese_cnn
1,famous_le_10m,0,0.0,0.6,14,osl_siamese_cnn
1,famous_le_10m,14,1.0,0.8,14,osl_siamese_cnn
2,famous_le_10m,0,0.0,0.8,14,osl_siamese_cnn
2,famous_le_10m,14,1.0,0.2,14,osl_siamese_cnn
3,famous_le_10m,0,0.0,0.4,14,osl_siamese_cnn
3,famous_le_10m,14,1.0,0.6,14,osl_siamese_cnn
4,famous_le_10m,0,0.0,0.6,14,osl_siamese_cnn
4,famous_le_10m,14,1.0,0.2,14,osl_siamese_cnn
0,famous_le_10m,0,0.0,0.6,17,osl_siamese_cnn
