run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb,model_arch
0,famous_le_10m,0,1.0,0.6,1,osl_siamese_cnn
0,famous_le_10m,1,0.0,0.4,1,osl_siamese_cnn
1,famous_le_10m,0,0.8,0.6,1,osl_siamese_cnn
1,famous_le_10m,1,0.2,0.4,1,osl_siamese_cnn
2,famous_le_10m,0,1.0,0.6,1,osl_siamese_cnn
2,famous_le_10m,1,0.0,0.4,1,osl_siamese_cnn
3,famous_le_10m,0,1.0,0.4,1,osl_siamese_cnn
3,famous_le_10m,1,0.0,0.6,1,osl_siamese_cnn
4,famous_le_10m,0,1.0,0.8,1,osl_siamese_cnn
4,famous_le_10m,1,0.0,0.2,1,osl_siamese_cnn
0,famous_le_10m,0,0.6,0.4,2,osl_siamese_cnn
0,famous_le_10m,2,0.4,0.2,2,osl_siamese_cnn
1,famous_le_10m,0,1.0,0.8,2,osl_siamese_cnn
1,famous_le_10m,2,0.0,0.2,2,osl_siamese_cnn
2,famous_le_10m,0,0.8,0.8,2,osl_siamese_cnn
2,famous_le_10m,2,0.4,0.8,2,osl_siamese_cnn
3,famous_le_10m,0,1.0,0.2,2,osl_siamese_cnn
3,famous_le_10m,2,0.0,0.6,2,osl_siamese_cnn
4,famous_le_10m,0,0.8,0.6,2,osl_siamese_cnn
4,famous_le_10m,2,0.2,0.4,2,osl_siamese_cnn
0,famous_le_10m,0,1.0,0.6,3,osl_siamese_cnn
0,famous_le_10m,3,0.0,0.4,3,osl_siamese_cnn
1,famous_le_10m,0,1.0,0.4,3,osl_siamese_cnn
1,famous_le_10m,3,0.0,0.0,3,osl_siamese_cnn
2,famous_le_10m,0,0.6,0.6,3,osl_siamese_cnn
2,famous_le_10m,3,0.6,0.8,3,osl_siamese_cnn
3,famous_le_10m,0,1.0,0.8,3,osl_siamese_cnn
3,famous_le_10m,3,0.0,0.4,3,osl_siamese_cnn
4,famous_le_10m,0,0.2,0.4,3,osl_siamese_cnn
4,famous_le_10m,3,1.0,0.8,3,osl_siamese_cnn
0,famous_le_10m,0,1.0,0.8,4,osl_siamese_cnn
0,famous_le_10m,4,0.8,0.6,4,osl_siamese_cnn
1,famous_le_10m,0,1.0,1.0,4,osl_siamese_cnn
1,famous_le_10m,4,0.4,0.4,4,osl_siamese_cnn
2,famous_le_10m,0,0.8,0.8,4,osl_siamese_cnn
2,famous_le_10m,4,0.0,0.2,4,osl_siamese_cnn
3,famous_le_10m,0,1.0,0.2,4,osl_siamese_cnn
3,famous_le_10m,4,0.2,0.2,4,osl_siamese_cnn
4,famous_le_10m,0,1.0,0.2,4,osl_siamese_cnn
4,famous_le_10m,4,0.8,0.2,4,osl_siamese_cnn
0,famous_le_10m,0,1.0,1.0,5,osl_siamese_cnn
0,famous_le_10m,5,1.0,1.0,5,osl_siamese_cnn
1,famous_le_10m,0,1.0,1.0,5,osl_siamese_cnn
1,famous_le_10m,5,1.0,1.0,5,osl_siamese_cnn
2,famous_le_10m,0,1.0,1.0,5,osl_siamese_cnn
2,famous_le_10m,5,0.4,0.2,5,osl_siamese_cnn
3,famous_le_10m,0,1.0,1.0,5,osl_siamese_cnn
3,famous_le_10m,5,1.0,1.0,5,osl_siamese_cnn
4,famous_le_10m,0,1.0,1.0,5,osl_siamese_cnn
4,famous_le_10m,5,0.4,0.4,5,osl_siamese_cnn
0,famous_le_10m,0,1.0,1.0,6,osl_siamese_cnn
0,famous_le_10m,6,0.8,0.8,6,osl_siamese_cnn
1,famous_le_10m,0,1.0,1.0,6,osl_siamese_cnn
1,famous_le_10m,6,1.0,1.0,6,osl_siamese_cnn
2,famous_le_10m,0,1.0,1.0,6,osl_siamese_cnn
2,famous_le_10m,6,1.0,1.0,6,osl_siamese_cnn
3,famous_le_10m,0,1.0,1.0,6,osl_siamese_cnn
3,famous_le_10m,6,1.0,1.0,6,osl_siamese_cnn
4,famous_le_10m,0,1.0,1.0,6,osl_siamese_cnn
4,famous_le_10m,6,0.6,0.6,6,osl_siamese_cnn
0,famous_le_10m,0,1.0,1.0,7,osl_siamese_cnn
0,famous_le_10m,7,0.8,1.0,7,osl_siamese_cnn
1,famous_le_10m,0,1.0,1.0,7,osl_siamese_cnn
1,famous_le_10m,7,0.0,0.0,7,osl_siamese_cnn
2,famous_le_10m,0,1.0,1.0,7,osl_siamese_cnn
2,famous_le_10m,7,1.0,1.0,7,osl_siamese_cnn
3,famous_le_10m,0,1.0,1.0,7,osl_siamese_cnn
3,famous_le_10m,7,0.8,0.6,7,osl_siamese_cnn
4,famous_le_10m,0,1.0,1.0,7,osl_siamese_cnn
4,famous_le_10m,7,0.6,0.6,7,osl_siamese_cnn
0,famous_le_10m,0,1.0,1.0,8,osl_siamese_cnn
0,famous_le_10m,8,1.0,1.0,8,osl_siamese_cnn
1,famous_le_10m,0,1.0,1.0,8,osl_siamese_cnn
1,famous_le_10m,8,1.0,1.0,8,osl_siamese_cnn
2,famous_le_10m,0,1.0,1.0,8,osl_siamese_cnn
2,famous_le_10m,8,1.0,1.0,8,osl_siamese_cnn
3,famous_le_10m,0,1.0,1.0,8,osl_siamese_cnn
3,famous_le_10m,8,1.0,1.0,8,osl_siamese_cnn
4,famous_le_10m,0,1.0,1.0,8,osl_siamese_cnn
4,famous_le_10m,8,0.6,0.6,8,osl_siamese_cnn
0,famous_le_10m,0,1.0,1.0,9,osl_siamese_cnn
0,famous_le_10m,9,0.4,0.6,9,osl_siamese_cnn
1,famous_le_10m,0,1.0,1.0,9,osl_siamese_cnn
1,famous_le_10m,9,1.0,1.0,9,osl_siamese_cnn
2,famous_le_10m,0,1.0,1.0,9,osl_siamese_cnn
2,famous_le_10m,9,1.0,1.0,9,osl_siamese_cnn
3,famous_le_10m,0,1.0,1.0,9,osl_siamese_cnn
3,famous_le_10m,9,1.0,1.0,9,osl_siamese_cnn
4,famous_le_10m,0,1.0,1.0,9,osl_siamese_cnn
4,famous_le_10m,9,1.0,1.0,9,osl_siamese_cnn
0,famous_le_10m,0,1.0,1.0,10,osl_siamese_cnn
0,famous_le_10m,10,0.6,0.6,10,osl_siamese_cnn
1,famous_le_10m,0,1.0,1.0,10,osl_siamese_cnn
1,famous_le_10m,10,1.0,1.0,10,osl_siamese_cnn
2,famous_le_10m,0,1.0,1.0,10,osl_siamese_cnn
2,famous_le_10m,10,1.0,1.0,10,osl_siamese_cnn
3,famous_le_10m,0,1.0,1.0,10,osl_siamese_cnn
3,famous_le_10m,10,1.0,1.0,10,osl_siamese_cnn
4,famous_le_10m,0,1.0,1.0,10,osl_siamese_cnn
4,famous_le_10m,10,1.0,1.0,10,osl_siamese_cnn
0,famous_le_10m,0,1.0,1.0,11,osl_siamese_cnn
0,famous_le_10m,11,1.0,1.0,11,osl_siamese_cnn
1,famous_le_10m,0,1.0,1.0,11,osl_siamese_cnn
1,famous_le_10m,11,1.0,1.0,11,osl_siamese_cnn
2,famous_le_10m,0,1.0,1.0,11,osl_siamese_cnn
2,famous_le_10m,11,1.0,1.0,11,osl_siamese_cnn
3,famous_le_10m,0,1.0,1.0,11,osl_siamese_cnn
3,famous_le_10m,11,1.0,1.0,11,osl_siamese_cnn
4,famous_le_10m,0,1.0,1.0,11,osl_siamese_cnn
4,famous_le_10m,11,0.6,0.6,11,osl_siamese_cnn
0,famous_le_10m,0,1.0,1.0,12,osl_siamese_cnn
0,famous_le_10m,12,1.0,1.0,12,osl_siamese_cnn
1,famous_le_10m,0,1.0,1.0,12,osl_siamese_cnn
1,famous_le_10m,12,1.0,1.0,12,osl_siamese_cnn
2,famous_le_10m,0,1.0,1.0,12,osl_siamese_cnn
2,famous_le_10m,12,1.0,1.0,12,osl_siamese_cnn
3,famous_le_10m,0,1.0,1.0,12,osl_siamese_cnn
3,famous_le_10m,12,1.0,1.0,12,osl_siamese_cnn
4,famous_le_10m,0,1.0,1.0,12,osl_siamese_cnn
4,famous_le_10m,12,0.6,0.6,12,osl_siamese_cnn
0,famous_le_10m,0,1.0,1.0,13,osl_siamese_cnn
0,famous_le_10m,13,1.0,1.0,13,osl_siamese_cnn
1,famous_le_10m,0,1.0,1.0,13,osl_siamese_cnn
1,famous_le_10m,13,1.0,1.0,13,osl_siamese_cnn
2,famous_le_10m,0,1.0,1.0,13,osl_siamese_cnn
2,famous_le_10m,13,1.0,1.0,13,osl_siamese_cnn
3,famous_le_10m,0,1.0,1.0,13,osl_siamese_cnn
