run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb,model_arch
0,torch_pretrained_classification,0,0.5125,0.375,1,osl_siamese_cnn
1,torch_pretrained_classification,0,0.7125,0.5375,1,osl_siamese_cnn
2,torch_pretrained_classification,0,0.7625,0.475,1,osl_siamese_cnn
3,torch_pretrained_classification,0,0.7,0.575,1,osl_siamese_cnn
4,torch_pretrained_classification,0,0.6875,0.55,1,osl_siamese_cnn
0,torch_pretrained_classification,0,0.7125,0.5875,2,osl_siamese_cnn
1,torch_pretrained_classification,0,0.3875,0.5,2,osl_siamese_cnn
2,torch_pretrained_classification,0,0.725,0.4625,2,osl_siamese_cnn
3,torch_pretrained_classification,0,0.7,0.5125,2,osl_siamese_cnn
4,torch_pretrained_classification,0,0.675,0.475,2,osl_siamese_cnn
0,torch_pretrained_classification,0,0.6875,0.4125,3,osl_siamese_cnn
1,torch_pretrained_classification,0,0.875,0.7375,3,osl_siamese_cnn
2,torch_pretrained_classification,0,0.6375,0.6625,3,osl_siamese_cnn
3,torch_pretrained_classification,0,0.75,0.525,3,osl_siamese_cnn
4,torch_pretrained_classification,0,0.6625,0.55,3,osl_siamese_cnn
0,torch_pretrained_classification,0,0.7,0.6875,4,osl_siamese_cnn
1,torch_pretrained_classification,0,0.325,0.6,4,osl_siamese_cnn
2,torch_pretrained_classification,0,0.925,0.925,4,osl_siamese_cnn
3,torch_pretrained_classification,0,0.3,0.4375,4,osl_siamese_cnn
4,torch_pretrained_classification,0,0.8625,0.7875,4,osl_siamese_cnn
0,torch_pretrained_classification,0,0.8875,0.8875,5,osl_siamese_cnn
1,torch_pretrained_classification,0,0.925,0.925,5,osl_siamese_cnn
2,torch_pretrained_classification,0,0.875,0.8875,5,osl_siamese_cnn
3,torch_pretrained_classification,0,0.9375,0.9375,5,osl_siamese_cnn
4,torch_pretrained_classification,0,0.925,0.925,5,osl_siamese_cnn
0,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn
1,torch_pretrained_classification,0,0.9375,0.95,6,osl_siamese_cnn
2,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn
3,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn
4,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,7,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.975,7,osl_siamese_cnn
2,torch_pretrained_classification,0,0.975,0.975,7,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,7,osl_siamese_cnn
4,torch_pretrained_classification,0,0.875,0.9125,7,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn
2,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn
4,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,9,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.9625,9,osl_siamese_cnn
2,torch_pretrained_classification,0,0.975,0.975,9,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,9,osl_siamese_cnn
4,torch_pretrained_classification,0,0.975,0.975,9,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,10,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.975,10,osl_siamese_cnn
2,torch_pretrained_classification,0,0.975,0.975,10,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,10,osl_siamese_cnn
4,torch_pretrained_classification,0,0.975,0.975,10,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,11,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.975,11,osl_siamese_cnn
2,torch_pretrained_classification,0,0.975,0.975,11,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,11,osl_siamese_cnn
4,torch_pretrained_classification,0,0.975,0.975,11,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,12,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.975,12,osl_siamese_cnn
2,torch_pretrained_classification,0,1.0,1.0,12,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,12,osl_siamese_cnn
4,torch_pretrained_classification,0,0.975,0.975,12,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,13,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.975,13,osl_siamese_cnn
2,torch_pretrained_classification,0,0.975,0.975,13,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,13,osl_siamese_cnn
4,torch_pretrained_classification,0,0.9375,0.9625,13,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,14,osl_siamese_cnn
1,torch_pretrained_classification,0,0.9875,0.9875,14,osl_siamese_cnn
2,torch_pretrained_classification,0,0.9875,0.9875,14,osl_siamese_cnn
3,torch_pretrained_classification,0,0.9625,0.9625,14,osl_siamese_cnn
4,torch_pretrained_classification,0,0.975,0.975,14,osl_siamese_cnn
0,torch_pretrained_classification,0,0.9625,0.9625,15,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.975,15,osl_siamese_cnn
2,torch_pretrained_classification,0,0.975,0.975,15,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,15,osl_siamese_cnn
4,torch_pretrained_classification,0,0.975,0.975,15,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,16,osl_siamese_cnn
1,torch_pretrained_classification,0,0.9875,0.9875,16,osl_siamese_cnn
2,torch_pretrained_classification,0,0.975,0.975,16,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,16,osl_siamese_cnn
4,torch_pretrained_classification,0,0.975,0.975,16,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,17,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.975,17,osl_siamese_cnn
2,torch_pretrained_classification,0,0.975,0.975,17,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,17,osl_siamese_cnn
4,torch_pretrained_classification,0,0.975,0.975,17,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,18,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.975,18,osl_siamese_cnn
2,torch_pretrained_classification,0,0.975,0.975,18,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,18,osl_siamese_cnn
4,torch_pretrained_classification,0,0.975,0.975,18,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,19,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.975,19,osl_siamese_cnn
2,torch_pretrained_classification,0,1.0,1.0,19,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,19,osl_siamese_cnn
4,torch_pretrained_classification,0,1.0,1.0,19,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,20,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.975,20,osl_siamese_cnn
2,torch_pretrained_classification,0,0.975,0.975,20,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,20,osl_siamese_cnn
4,torch_pretrained_classification,0,0.975,0.975,20,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,21,osl_siamese_cnn
1,torch_pretrained_classification,0,1.0,0.9875,21,osl_siamese_cnn
2,torch_pretrained_classification,0,0.925,0.9125,21,osl_siamese_cnn
3,torch_pretrained_classification,0,0.9875,0.9,21,osl_siamese_cnn
4,torch_pretrained_classification,0,0.9875,0.9875,21,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,22,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.975,22,osl_siamese_cnn
2,torch_pretrained_classification,0,0.975,0.975,22,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,22,osl_siamese_cnn
4,torch_pretrained_classification,0,0.975,0.975,22,osl_siamese_cnn
0,torch_pretrained_classification,0,0.975,0.975,23,osl_siamese_cnn
1,torch_pretrained_classification,0,0.975,0.975,23,osl_siamese_cnn
2,torch_pretrained_classification,0,0.975,0.975,23,osl_siamese_cnn
3,torch_pretrained_classification,0,0.975,0.975,23,osl_siamese_cnn
4,torch_pretrained_classification,0,0.975,0.975,23,osl_siamese_cnn
5,torch_pretrained_classification,0,0.675,0.6125,1,osl_siamese_cnn
6,torch_pretrained_classification,0,0.5375,0.425,1,osl_siamese_cnn
7,torch_pretrained_classification,0,0.825,0.5,1,osl_siamese_cnn
8,torch_pretrained_classification,0,0.475,0.2875,1,osl_siamese_cnn
9,torch_pretrained_classification,0,0.675,0.55,1,osl_siamese_cnn
5,torch_pretrained_classification,0,0.625,0.5,2,osl_siamese_cnn
6,torch_pretrained_classification,0,0.2375,0.3375,2,osl_siamese_cnn
7,torch_pretrained_classification,0,0.575,0.6125,2,osl_siamese_cnn
8,torch_pretrained_classification,0,0.6625,0.625,2,osl_siamese_cnn
