run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb,model_arch,model_sha256
0,torch_pretrained_classification,0,0.6375,0.55,1,osl_siamese_cnn,cb27de8fe5f4c2331f2ea51a51e3689974c71998f80f15cbdfc9591c132d8d47
1,torch_pretrained_classification,0,0.6375,0.275,1,osl_siamese_cnn,141c9fb9bb1c213a3ae362ee9eeb6cb0394c8e11db5f18084691c2b008cd52bb
2,torch_pretrained_classification,0,0.6875,0.5375,1,osl_siamese_cnn,8b848f7786cc92a87da33f027fa295bdbe3443a8de051d636e88cff6f5e1924f
3,torch_pretrained_classification,0,0.5125,0.4375,1,osl_siamese_cnn,98d1c676428844dc6752a4f68f6655724e131855206436362ed2d09e8fbc1e2a
4,torch_pretrained_classification,0,0.725,0.825,1,osl_siamese_cnn,94698b47b47a03f8e68af45c0842a1a0c91ab6b873e7f0e5351e4d112968e7ea
0,torch_pretrained_classification,0,0.6875,0.65,2,osl_siamese_cnn,f51a25adb913c3f589fe5ac5228299dd48def3646615f9e08409de8f15a0f23c
1,torch_pretrained_classification,0,0.65,0.6125,2,osl_siamese_cnn,9aeea577a15a131c908244c65b895e66d2ad17369b364702143817ff102d6545
2,torch_pretrained_classification,0,0.7875,0.55,2,osl_siamese_cnn,86bcc1bca33d6bb366baba72bda3272c77f6e41d00c7e7bee96f1f108ef6036f
3,torch_pretrained_classification,0,0.7375,0.475,2,osl_siamese_cnn,7269370813365def9c1f9d5ff466244c803b5912ea96151e04e118a3df78a595
4,torch_pretrained_classification,0,0.65,0.55,2,osl_siamese_cnn,df713db4176b1e4f2c474aacd0d9d3a4a4582f2b4254643ab7b704fe26eb8359
0,torch_pretrained_classification,0,0.7,0.5625,3,osl_siamese_cnn,ea1b866737fdaf42eea22f9b3578353d69bde4c375bb85b741178307475102a6
1,torch_pretrained_classification,0,0.675,0.6125,3,osl_siamese_cnn,9caf63943aaff14b69749ef75b9d0c023eee791be01ac4bb18b0cad139c34a28
2,torch_pretrained_classification,0,0.8125,0.6875,3,osl_siamese_cnn,b09840c5e185c61927cc681680f0e8f6ee18bb5632ff3f5a5acf6ea345e41f8e
3,torch_pretrained_classification,0,0.3,0.525,3,osl_siamese_cnn,bc8c71a8803a471999c988b7f1cf610c850e43218a6b09306d32641c09d4bf21
4,torch_pretrained_classification,0,0.7125,0.4875,3,osl_siamese_cnn,ed285a83dc248aa5db692c7ed1ff4053322eddde3163288d5f3268e30430e09b
0,torch_pretrained_classification,0,0.9125,0.9,4,osl_siamese_cnn,45b89fa605561fe9c66fd9b0004ee3519fbce893daa9083ec57fce166975062f
1,torch_pretrained_classification,0,0.7,0.5875,4,osl_siamese_cnn,7cf90fcad28f18c72c61aa298e5cd6dc66d7ecf69045509dd84f224d6055e0b4
2,torch_pretrained_classification,0,0.3375,0.5,4,osl_siamese_cnn,57332379a09b5dd9f419467d2dd42eba12f79fa81984e9489b434dc759ad7762
3,torch_pretrained_classification,0,0.75,0.7,4,osl_siamese_cnn,29030371b2a6247ae43d09b864a97295f0b873033fe5fc6d83b8ca16010f4e37
4,torch_pretrained_classification,0,0.925,0.925,4,osl_siamese_cnn,66e2e5ad1c57d39e1dc5822737ef9ca3666ea4a621d001553996d26a0067410e
0,torch_pretrained_classification,0,0.925,0.925,5,osl_siamese_cnn,0c24a39499dd9c6afe6537e790f104c555ad6aa5d08f5cbbcd1cb5c566fe1a24
1,torch_pretrained_classification,0,0.825,0.8375,5,osl_siamese_cnn,47b0c2ab60684b930ff66b15aa28e11e66dc2fcc2e1031e23a913ce73bf027d3
2,torch_pretrained_classification,0,0.925,0.925,5,osl_siamese_cnn,78458427c57617ac7bb35aa2bd0ca2b727c6f1b115c8eb713ad4714c6a318e3e
3,torch_pretrained_classification,0,0.925,0.925,5,osl_siamese_cnn,79be5db10c1cdfa9d7c60503910d996e521339aa188f6ae34d44f18e64d33fe3
4,torch_pretrained_classification,0,0.75,0.75,5,osl_siamese_cnn,5fcfa08c1d3989e2f51c350407a4ba4cac5900639e2a9d94a08e249f6dd1cae8
0,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn,748e303b0abdf5e2b900042b9bb79328a3c3b09a4850bb1e54a62cc3ac4052f1
1,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn,b9759f7ab41d1b2b36824791b1611f7964b4c7c756941bd5d8e6b30decdffc76
2,torch_pretrained_classification,0,0.9625,0.9625,6,osl_siamese_cnn,1dd6f078c024a9b100d16ecffe968ca1ec0037c7726250291e7beef84a8061e4
3,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn,7a52e46c047d159436c579f9ccdf7ce4be53d7f83fe0d97cfec60b0e0640a460
4,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn,2d3e39c90189ab18d4b7c36c10cd8724a4400549999bcbf1ec55f963196197d5
0,torch_pretrained_classification,0,0.9625,0.9625,7,osl_siamese_cnn,e751abc1ee437279ef54263c8430db2b68617482ce21a31857735760c41fa0aa
1,torch_pretrained_classification,0,0.9625,0.975,7,osl_siamese_cnn,ce2d395ed5c7067b1d8b576c5991b1d724b44b032d5f81e5c71f9650a0b74423
2,torch_pretrained_classification,0,0.975,0.975,7,osl_siamese_cnn,138185f50cd31497128dc1c613871e0ecfb6cc4ebcb100935bd5e675c89f0cdd
3,torch_pretrained_classification,0,0.975,0.975,7,osl_siamese_cnn,e30de51adae69806d0bb0a9ea406dba697b311ae144bf5c7d99adfa1e275285d
4,torch_pretrained_classification,0,0.95,0.95,7,osl_siamese_cnn,c5b68c8cf26e77d55d4e29c2109729785621869ec0b80984ecfed03e995d91ce
0,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn,b5f7031b1d1f1ffac36952df5a3b06d9ab35395c48bcfce57a4bf7103b4e2423
1,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn,55695bed2298bb57c561b3b8ec981cdb527671d97c79067459c6c2a8f0e9a236
