run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb,model_arch
0,famous_le_10m,0,1.0,1.0,8,srnet
0,famous_le_10m,8,1.0,1.0,8,srnet
1,famous_le_10m,0,1.0,1.0,8,srnet
1,famous_le_10m,8,1.0,1.0,8,srnet
2,famous_le_10m,0,1.0,1.0,8,srnet
2,famous_le_10m,8,1.0,1.0,8,srnet
3,famous_le_10m,0,1.0,1.0,8,srnet
3,famous_le_10m,8,1.0,1.0,8,srnet
4,famous_le_10m,0,1.0,1.0,8,srnet
4,famous_le_10m,8,1.0,1.0,8,srnet
0,famous_le_10m,0,1.0,1.0,9,srnet
0,famous_le_10m,9,1.0,1.0,9,srnet
1,famous_le_10m,0,1.0,1.0,9,srnet
1,famous_le_10m,9,1.0,1.0,9,srnet
2,famous_le_10m,0,1.0,1.0,9,srnet
2,famous_le_10m,9,1.0,1.0,9,srnet
3,famous_le_10m,0,1.0,1.0,9,srnet
3,famous_le_10m,9,1.0,1.0,9,srnet
4,famous_le_10m,0,1.0,1.0,9,srnet
4,famous_le_10m,9,1.0,1.0,9,srnet
0,famous_le_10m,0,1.0,1.0,10,srnet
0,famous_le_10m,10,1.0,1.0,10,srnet
1,famous_le_10m,0,1.0,1.0,10,srnet
1,famous_le_10m,10,1.0,1.0,10,srnet
2,famous_le_10m,0,1.0,1.0,10,srnet
2,famous_le_10m,10,1.0,1.0,10,srnet
3,famous_le_10m,0,1.0,1.0,10,srnet
3,famous_le_10m,10,1.0,1.0,10,srnet
4,famous_le_10m,0,1.0,1.0,10,srnet
4,famous_le_10m,10,1.0,1.0,10,srnet
0,famous_le_10m,0,1.0,1.0,11,srnet
0,famous_le_10m,11,1.0,1.0,11,srnet
1,famous_le_10m,0,1.0,1.0,11,srnet
1,famous_le_10m,11,1.0,1.0,11,srnet
2,famous_le_10m,0,1.0,1.0,11,srnet
2,famous_le_10m,11,1.0,1.0,11,srnet
3,famous_le_10m,0,1.0,1.0,11,srnet
3,famous_le_10m,11,1.0,1.0,11,srnet
4,famous_le_10m,0,1.0,1.0,11,srnet
4,famous_le_10m,11,1.0,1.0,11,srnet
0,famous_le_10m,0,1.0,1.0,12,srnet
0,famous_le_10m,12,1.0,1.0,12,srnet
1,famous_le_10m,0,1.0,1.0,12,srnet
1,famous_le_10m,12,1.0,1.0,12,srnet
2,famous_le_10m,0,1.0,1.0,12,srnet
2,famous_le_10m,12,1.0,1.0,12,srnet
3,famous_le_10m,0,1.0,1.0,12,srnet
3,famous_le_10m,12,1.0,1.0,12,srnet
4,famous_le_10m,0,1.0,1.0,12,srnet
4,famous_le_10m,12,1.0,1.0,12,srnet
0,famous_le_10m,0,1.0,1.0,13,srnet
0,famous_le_10m,13,1.0,1.0,13,srnet
1,famous_le_10m,0,1.0,1.0,13,srnet
1,famous_le_10m,13,1.0,1.0,13,srnet
2,famous_le_10m,0,1.0,1.0,13,srnet
2,famous_le_10m,13,1.0,1.0,13,srnet
3,famous_le_10m,0,1.0,1.0,13,srnet
3,famous_le_10m,13,1.0,1.0,13,srnet
4,famous_le_10m,0,1.0,1.0,13,srnet
4,famous_le_10m,13,1.0,1.0,13,srnet
