run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb,model_arch
0,famous_le_10m,0,0.2,0.6,8,srnet
0,famous_le_10m,8,0.8,0.6,8,srnet
1,famous_le_10m,0,0.8,0.2,8,srnet
1,famous_le_10m,8,0.2,0.8,8,srnet
2,famous_le_10m,0,0.6,1.0,8,srnet
2,famous_le_10m,8,0.6,0.4,8,srnet
3,famous_le_10m,0,0.4,0.2,8,srnet
3,famous_le_10m,8,0.6,0.8,8,srnet
4,famous_le_10m,0,0.6,0.6,8,srnet
4,famous_le_10m,8,0.4,0.0,8,srnet
0,famous_le_10m,0,0.4,0.2,9,srnet
0,famous_le_10m,9,0.6,1.0,9,srnet
1,famous_le_10m,0,0.4,0.2,9,srnet
1,famous_le_10m,9,0.4,0.2,9,srnet
2,famous_le_10m,0,0.6,0.4,9,srnet
2,famous_le_10m,9,1.0,0.4,9,srnet
3,famous_le_10m,0,0.0,0.4,9,srnet
3,famous_le_10m,9,1.0,0.4,9,srnet
4,famous_le_10m,0,0.6,0.4,9,srnet
4,famous_le_10m,9,0.4,0.4,9,srnet
0,famous_le_10m,0,0.8,0.8,10,srnet
0,famous_le_10m,10,0.4,0.2,10,srnet
1,famous_le_10m,0,0.8,0.8,10,srnet
1,famous_le_10m,10,0.2,0.4,10,srnet
2,famous_le_10m,0,0.6,0.6,10,srnet
2,famous_le_10m,10,0.6,0.8,10,srnet
3,famous_le_10m,0,0.4,0.4,10,srnet
3,famous_le_10m,10,0.4,0.4,10,srnet
4,famous_le_10m,0,0.4,0.6,10,srnet
4,famous_le_10m,10,0.2,0.0,10,srnet
0,famous_le_10m,0,0.8,0.2,11,srnet
0,famous_le_10m,11,0.2,0.6,11,srnet
1,famous_le_10m,0,0.8,0.4,11,srnet
1,famous_le_10m,11,0.2,0.4,11,srnet
2,famous_le_10m,0,0.8,0.6,11,srnet
2,famous_le_10m,11,0.2,0.2,11,srnet
3,famous_le_10m,0,0.8,0.6,11,srnet
3,famous_le_10m,11,0.2,0.6,11,srnet
4,famous_le_10m,0,0.4,0.6,11,srnet
4,famous_le_10m,11,0.6,0.4,11,srnet
0,famous_le_10m,0,0.8,0.8,12,srnet
0,famous_le_10m,12,0.6,0.0,12,srnet
1,famous_le_10m,0,0.4,0.2,12,srnet
1,famous_le_10m,12,0.8,0.8,12,srnet
2,famous_le_10m,0,0.4,0.6,12,srnet
2,famous_le_10m,12,0.2,0.2,12,srnet
3,famous_le_10m,0,0.0,0.0,12,srnet
3,famous_le_10m,12,0.8,0.8,12,srnet
4,famous_le_10m,0,0.8,0.6,12,srnet
4,famous_le_10m,12,0.2,0.2,12,srnet
0,famous_le_10m,0,0.0,0.4,13,srnet
0,famous_le_10m,13,1.0,0.8,13,srnet
1,famous_le_10m,0,0.2,0.0,13,srnet
1,famous_le_10m,13,0.8,1.0,13,srnet
2,famous_le_10m,0,0.8,0.8,13,srnet
2,famous_le_10m,13,0.4,0.2,13,srnet
3,famous_le_10m,0,0.0,0.0,13,srnet
3,famous_le_10m,13,0.8,1.0,13,srnet
4,famous_le_10m,0,0.4,0.8,13,srnet
4,famous_le_10m,13,0.6,0.6,13,srnet
0,famous_le_10m,0,0.6,0.8,14,srnet
0,famous_le_10m,14,0.8,0.0,14,srnet
1,famous_le_10m,0,0.4,0.6,14,srnet
1,famous_le_10m,14,0.8,1.0,14,srnet
2,famous_le_10m,0,0.6,0.8,14,srnet
2,famous_le_10m,14,0.6,0.2,14,srnet
3,famous_le_10m,0,0.8,0.4,14,srnet
3,famous_le_10m,14,0.6,0.8,14,srnet
4,famous_le_10m,0,0.8,0.4,14,srnet
4,famous_le_10m,14,0.2,0.4,14,srnet
0,famous_le_10m,0,0.4,0.2,15,srnet
0,famous_le_10m,15,0.4,0.4,15,srnet
1,famous_le_10m,0,0.4,1.0,15,srnet
1,famous_le_10m,15,0.8,0.2,15,srnet
2,famous_le_10m,0,0.8,1.0,15,srnet
2,famous_le_10m,15,0.4,0.6,15,srnet
3,famous_le_10m,0,0.6,0.8,15,srnet
3,famous_le_10m,15,0.2,0.0,15,srnet
4,famous_le_10m,0,0.0,0.6,15,srnet
4,famous_le_10m,15,1.0,0.8,15,srnet
0,famous_le_10m,0,0.8,0.6,16,srnet
0,famous_le_10m,16,0.8,0.4,16,srnet
1,famous_le_10m,0,0.2,0.2,16,srnet
1,famous_le_10m,16,0.8,1.0,16,srnet
2,famous_le_10m,0,0.2,0.2,16,srnet
2,famous_le_10m,16,1.0,1.0,16,srnet
3,famous_le_10m,0,0.4,0.4,16,srnet
3,famous_le_10m,16,0.8,0.6,16,srnet
4,famous_le_10m,0,0.8,0.8,16,srnet
4,famous_le_10m,16,0.8,0.8,16,srnet
0,famous_le_10m,0,0.4,0.6,17,srnet
0,famous_le_10m,17,0.4,0.4,17,srnet
1,famous_le_10m,0,0.4,0.8,17,srnet
1,famous_le_10m,17,1.0,0.2,17,srnet
2,famous_le_10m,0,0.4,0.6,17,srnet
2,famous_le_10m,17,0.8,0.4,17,srnet
