run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb,model_arch
0,slms_100m_1b,0,1.0,1.0,1,srnet
0,slms_100m_1b,1,0.5,0.5,1,srnet
0,slms_100m_1b,2,1.0,1.0,1,srnet
0,slms_100m_1b,3,1.0,1.0,1,srnet
0,slms_100m_1b,4,1.0,1.0,1,srnet
0,slms_100m_1b,5,1.0,1.0,1,srnet
0,slms_100m_1b,6,1.0,1.0,1,srnet
0,slms_100m_1b,7,1.0,1.0,1,srnet
0,slms_100m_1b,8,1.0,1.0,1,srnet
1,slms_100m_1b,0,1.0,1.0,1,srnet
1,slms_100m_1b,1,0.5,0.5,1,srnet
1,slms_100m_1b,2,1.0,1.0,1,srnet
1,slms_100m_1b,3,1.0,1.0,1,srnet
1,slms_100m_1b,4,1.0,1.0,1,srnet
1,slms_100m_1b,5,1.0,1.0,1,srnet
1,slms_100m_1b,6,1.0,1.0,1,srnet
1,slms_100m_1b,7,1.0,1.0,1,srnet
1,slms_100m_1b,8,1.0,1.0,1,srnet
2,slms_100m_1b,0,1.0,1.0,1,srnet
2,slms_100m_1b,1,0.5,0.5,1,srnet
2,slms_100m_1b,2,1.0,1.0,1,srnet
2,slms_100m_1b,3,1.0,1.0,1,srnet
2,slms_100m_1b,4,1.0,1.0,1,srnet
2,slms_100m_1b,5,1.0,1.0,1,srnet
2,slms_100m_1b,6,1.0,1.0,1,srnet
2,slms_100m_1b,7,1.0,1.0,1,srnet
2,slms_100m_1b,8,1.0,1.0,1,srnet
3,slms_100m_1b,0,1.0,1.0,1,srnet
3,slms_100m_1b,1,0.5,0.5,1,srnet
3,slms_100m_1b,2,1.0,1.0,1,srnet
3,slms_100m_1b,3,1.0,1.0,1,srnet
3,slms_100m_1b,4,1.0,1.0,1,srnet
3,slms_100m_1b,5,1.0,1.0,1,srnet
3,slms_100m_1b,6,1.0,1.0,1,srnet
3,slms_100m_1b,7,1.0,1.0,1,srnet
3,slms_100m_1b,8,1.0,1.0,1,srnet
4,slms_100m_1b,0,1.0,1.0,1,srnet
4,slms_100m_1b,1,0.5,0.5,1,srnet
4,slms_100m_1b,2,1.0,1.0,1,srnet
4,slms_100m_1b,3,1.0,1.0,1,srnet
4,slms_100m_1b,4,1.0,1.0,1,srnet
4,slms_100m_1b,5,1.0,1.0,1,srnet
4,slms_100m_1b,6,1.0,1.0,1,srnet
4,slms_100m_1b,7,1.0,1.0,1,srnet
4,slms_100m_1b,8,1.0,1.0,1,srnet
0,slms_100m_1b,0,1.0,1.0,2,srnet
0,slms_100m_1b,1,0.0,0.0,2,srnet
0,slms_100m_1b,2,1.0,1.0,2,srnet
0,slms_100m_1b,3,1.0,1.0,2,srnet
0,slms_100m_1b,4,1.0,1.0,2,srnet
0,slms_100m_1b,5,1.0,1.0,2,srnet
0,slms_100m_1b,6,1.0,1.0,2,srnet
0,slms_100m_1b,7,1.0,1.0,2,srnet
0,slms_100m_1b,8,1.0,1.0,2,srnet
1,slms_100m_1b,0,1.0,1.0,2,srnet
1,slms_100m_1b,1,0.0,0.0,2,srnet
1,slms_100m_1b,2,1.0,1.0,2,srnet
1,slms_100m_1b,3,1.0,1.0,2,srnet
1,slms_100m_1b,4,1.0,1.0,2,srnet
1,slms_100m_1b,5,1.0,1.0,2,srnet
1,slms_100m_1b,6,1.0,1.0,2,srnet
1,slms_100m_1b,7,1.0,1.0,2,srnet
1,slms_100m_1b,8,1.0,1.0,2,srnet
2,slms_100m_1b,0,1.0,1.0,2,srnet
2,slms_100m_1b,1,0.0,0.0,2,srnet
2,slms_100m_1b,2,1.0,1.0,2,srnet
2,slms_100m_1b,3,1.0,1.0,2,srnet
2,slms_100m_1b,4,1.0,1.0,2,srnet
2,slms_100m_1b,5,1.0,1.0,2,srnet
2,slms_100m_1b,6,1.0,1.0,2,srnet
2,slms_100m_1b,7,1.0,1.0,2,srnet
2,slms_100m_1b,8,1.0,1.0,2,srnet
3,slms_100m_1b,0,1.0,1.0,2,srnet
3,slms_100m_1b,1,0.0,0.0,2,srnet
3,slms_100m_1b,2,1.0,1.0,2,srnet
3,slms_100m_1b,3,1.0,1.0,2,srnet
3,slms_100m_1b,4,1.0,1.0,2,srnet
3,slms_100m_1b,5,1.0,1.0,2,srnet
3,slms_100m_1b,6,1.0,1.0,2,srnet
3,slms_100m_1b,7,1.0,1.0,2,srnet
