run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb,model_arch
0,torch_pretrained_models,0,0.625,0.6875,1,srnet
0,torch_pretrained_models,1,0.375,0.3125,1,srnet
1,torch_pretrained_models,0,0.625,0.5,1,srnet
1,torch_pretrained_models,1,0.375,0.4375,1,srnet
2,torch_pretrained_models,0,0.5625,0.5,1,srnet
2,torch_pretrained_models,1,0.4375,0.4375,1,srnet
3,torch_pretrained_models,0,0.6875,0.625,1,srnet
3,torch_pretrained_models,1,0.3125,0.4375,1,srnet
4,torch_pretrained_models,0,0.4375,0.375,1,srnet
4,torch_pretrained_models,1,0.5625,0.5625,1,srnet
0,torch_pretrained_models,0,0.25,0.5625,2,srnet
0,torch_pretrained_models,2,0.75,0.4375,2,srnet
1,torch_pretrained_models,0,0.3125,0.5,2,srnet
1,torch_pretrained_models,2,0.6875,0.625,2,srnet
2,torch_pretrained_models,0,0.5,0.75,2,srnet
2,torch_pretrained_models,2,0.5,0.3125,2,srnet
3,torch_pretrained_models,0,0.3125,0.4375,2,srnet
3,torch_pretrained_models,2,0.6875,0.5625,2,srnet
4,torch_pretrained_models,0,0.375,0.5,2,srnet
4,torch_pretrained_models,2,0.625,0.5,2,srnet
0,torch_pretrained_models,0,0.4375,0.5625,3,srnet
0,torch_pretrained_models,3,0.5625,0.375,3,srnet
1,torch_pretrained_models,0,0.25,0.4375,3,srnet
1,torch_pretrained_models,3,0.75,0.625,3,srnet
2,torch_pretrained_models,0,0.3125,0.8125,3,srnet
2,torch_pretrained_models,3,0.6875,0.1875,3,srnet
3,torch_pretrained_models,0,0.3125,0.4375,3,srnet
3,torch_pretrained_models,3,0.6875,0.5625,3,srnet
4,torch_pretrained_models,0,0.375,0.5625,3,srnet
4,torch_pretrained_models,3,0.625,0.5,3,srnet
0,torch_pretrained_models,0,0.375,0.625,4,srnet
0,torch_pretrained_models,4,0.625,0.375,4,srnet
1,torch_pretrained_models,0,0.625,0.375,4,srnet
1,torch_pretrained_models,4,0.5,0.625,4,srnet
2,torch_pretrained_models,0,0.4375,0.625,4,srnet
2,torch_pretrained_models,4,0.5625,0.375,4,srnet
3,torch_pretrained_models,0,0.6875,0.4375,4,srnet
3,torch_pretrained_models,4,0.375,0.5625,4,srnet
4,torch_pretrained_models,0,0.4375,0.5,4,srnet
4,torch_pretrained_models,4,0.5625,0.4375,4,srnet
0,torch_pretrained_models,0,0.3125,0.6875,5,srnet
0,torch_pretrained_models,5,0.6875,0.375,5,srnet
1,torch_pretrained_models,0,0.3125,0.5625,5,srnet
1,torch_pretrained_models,5,0.6875,0.4375,5,srnet
2,torch_pretrained_models,0,0.375,0.75,5,srnet
2,torch_pretrained_models,5,0.625,0.375,5,srnet
3,torch_pretrained_models,0,0.625,0.625,5,srnet
3,torch_pretrained_models,5,0.4375,0.375,5,srnet
4,torch_pretrained_models,0,0.375,0.5,5,srnet
4,torch_pretrained_models,5,0.625,0.625,5,srnet
0,torch_pretrained_models,0,0.4375,0.5,6,srnet
0,torch_pretrained_models,6,0.5625,0.4375,6,srnet
1,torch_pretrained_models,0,0.5,0.5,6,srnet
1,torch_pretrained_models,6,0.5,0.5625,6,srnet
2,torch_pretrained_models,0,0.3125,0.6875,6,srnet
2,torch_pretrained_models,6,0.6875,0.3125,6,srnet
3,torch_pretrained_models,0,0.25,0.625,6,srnet
3,torch_pretrained_models,6,0.75,0.3125,6,srnet
4,torch_pretrained_models,0,0.4375,0.625,6,srnet
4,torch_pretrained_models,6,0.5625,0.4375,6,srnet
0,torch_pretrained_models,0,0.375,0.5625,7,srnet
0,torch_pretrained_models,7,0.625,0.5,7,srnet
1,torch_pretrained_models,0,0.3125,0.5,7,srnet
1,torch_pretrained_models,7,0.6875,0.4375,7,srnet
2,torch_pretrained_models,0,0.375,0.5625,7,srnet
2,torch_pretrained_models,7,0.625,0.4375,7,srnet
3,torch_pretrained_models,0,0.4375,0.5,7,srnet
3,torch_pretrained_models,7,0.5,0.6875,7,srnet
4,torch_pretrained_models,0,0.4375,0.5,7,srnet
4,torch_pretrained_models,7,0.5625,0.375,7,srnet
0,torch_pretrained_models,0,0.4375,0.375,8,srnet
0,torch_pretrained_models,8,0.5625,0.5625,8,srnet
1,torch_pretrained_models,0,0.3125,0.5625,8,srnet
1,torch_pretrained_models,8,0.6875,0.4375,8,srnet
2,torch_pretrained_models,0,0.4375,0.625,8,srnet
2,torch_pretrained_models,8,0.5625,0.3125,8,srnet
3,torch_pretrained_models,0,0.3125,0.4375,8,srnet
3,torch_pretrained_models,8,0.6875,0.5625,8,srnet
4,torch_pretrained_models,0,0.5625,0.3125,8,srnet
4,torch_pretrained_models,8,0.375,0.3125,8,srnet
